"method","sim","n","betamin","is.true.model.intop.kappa.o","is.true.model.intop.kappa.oplusLASSO","is.s.hat.nan","s.hat","s0.hat","s1.hat","time.l0","time.lasso.cv","time.scad.cv","sel.model","est.mse","recovery","nb.tI.b0","nb.tI.b1","nb.tII.b0","nb.tII.b1","est.size","FP","TP","FDR","power"
"EBIC",1,80,0.33,"FALSE","FALSE","FALSE","11.0460796555862","4.9209950415668","6.12508461401937","0.743","0.035","0.05","2,3,4,6,7,36,48,49,50,51,52,53,54,93",0.0137546299102762,FALSE,1,1,2,0,14,2,12,0.142857142857143,0.857142857142857
"EBIC",10,80,0.33,"FALSE","FALSE","FALSE","10.7771168215622","5.06757511346655","5.70954170809564","0.432","0.034","0.046","3,4,5,6,7,26,49,50,52,53,54,93,94",0.0187758511621712,FALSE,1,2,2,2,13,3,10,0.230769230769231,0.714285714285714
"EBIC",100,80,0.33,"FALSE","FALSE","FALSE","9.94787696192316","4.53119880758173","5.41667815434142","0.717","0.033","0.044","1,2,3,4,5,6,39,49,50,52,53,54,62,65",0.0233394942000601,FALSE,1,2,1,2,14,3,11,0.214285714285714,0.785714285714286
"EBIC",11,80,0.33,"FALSE","FALSE","FALSE","9.56527022329511","3.70441963102618","5.86085059226892","0.618","0.035","0.05","3,4,5,6,7,30,48,49,50,51,52,53,54",0.00673914384534748,FALSE,1,0,2,0,13,1,12,0.0769230769230769,0.857142857142857
"EBIC",12,80,0.33,"FALSE","FALSE","FALSE","10.3476239471451","4.32793472707631","6.01968922006878","0.454","0.035","0.046","3,4,5,6,7,49,50,51,52,53,54",0.00944016319804476,FALSE,0,0,2,1,11,0,11,0,0.785714285714286
"EBIC",13,80,0.33,"FALSE","FALSE","FALSE","9.886027079452","4.63371891598202","5.25230816346998","0.698","0.04","0.045","1,3,5,6,7,26,48,49,50,51,52,53,54",0.015614821333557,FALSE,1,0,2,0,13,1,12,0.0769230769230769,0.857142857142857
"EBIC",14,80,0.33,"FALSE","FALSE","FALSE","8.96026839107611","3.64345523307091","5.31681315800521","0.418","0.038","0.05","3,4,6,7,49,50,51,52,53,54",0.015383899234224,FALSE,0,0,3,1,10,0,10,0,0.714285714285714
"EBIC",15,80,0.33,"FALSE","FALSE","FALSE","11.0389809043794","4.65593542813457","6.3830454762448","0.499","0.035","0.046","2,3,4,5,6,7,49,50,51,52,53,54",0.00602133158989201,FALSE,0,0,1,1,12,0,12,0,0.857142857142857
"EBIC",16,80,0.33,"FALSE","FALSE","FALSE","10.2089373785185","4.12462183974254","6.08431553877596","0.456","0.033","0.041","1,3,4,5,6,7,39,49,50,51,52,53,54",0.0128220373491991,FALSE,1,0,1,1,13,1,12,0.0769230769230769,0.857142857142857
"EBIC",17,80,0.33,"FALSE","FALSE","FALSE","10.361915736609","4.81882827274841","5.54308746386059","0.714","0.036","0.047","2,4,6,7,30,38,48,49,51,52,53,54",0.0259865079644369,FALSE,2,0,3,1,12,2,10,0.166666666666667,0.714285714285714
"EBIC",18,80,0.33,"FALSE","FALSE","FALSE","9.77110733147644","4.06803830896098","5.70306902251546","0.32","0.037","0.044","4,6,7,20,49,50,52,53,54,83",0.0357651114183584,FALSE,1,1,4,2,10,2,8,0.2,0.571428571428571
"EBIC",19,80,0.33,"FALSE","FALSE","FALSE","9.07857755974378","3.08970404584955","5.98887351389424","0.923","0.034","0.045","1,2,6,24,49,50,52,53,54,70,78,89",0.0470052264721967,FALSE,1,3,4,2,12,4,8,0.333333333333333,0.571428571428571
"EBIC",2,80,0.33,"FALSE","FALSE","FALSE","9.83767897373116","3.59156128050264","6.24611769322852","0.526","0.033","0.045","3,4,5,6,7,49,50,51,52,53,54",0.0089978966957164,FALSE,0,0,2,1,11,0,11,0,0.785714285714286
"EBIC",20,80,0.33,"FALSE","FALSE","FALSE","9.32601392172095","2.83257531898006","6.49343860274089","0.752","0.041","0.045","3,4,5,6,7,49,50,51,52,53,54,87,90",0.0143417883027692,FALSE,0,2,2,1,13,2,11,0.153846153846154,0.785714285714286
"EBIC",21,80,0.33,"FALSE","FALSE","FALSE","6.8533940740167","2.56154929057315","4.29184478344355","0.437","0.035","0.045","2,4,6,9,32,49,50,52,53,54,90",0.0352660769651431,FALSE,2,1,4,2,11,3,8,0.272727272727273,0.571428571428571
"EBIC",22,80,0.33,"FALSE","FALSE","FALSE","10.7339868000629","4.67926414324608","6.0547226568168","0.523","0.039","0.046","2,3,4,6,7,9,15,44,49,50,51,52,53,54",0.0144377701393548,FALSE,3,0,2,1,14,3,11,0.214285714285714,0.785714285714286
"EBIC",23,80,0.33,"FALSE","FALSE","FALSE","8.05907119608974","2.50047657062815","5.55859462546159","0.63","0.039","0.052","2,3,4,5,6,7,49,50,51,52,53,54",0.0059409111921821,FALSE,0,0,1,1,12,0,12,0,0.857142857142857
"EBIC",24,80,0.33,"FALSE","FALSE","FALSE","9.76171914141264","2.99493731880442","6.76678182260822","0.74","0.039","0.054","2,4,6,7,49,50,51,52,53,54,82,93",0.0179522744460259,FALSE,0,2,3,1,12,2,10,0.166666666666667,0.714285714285714
"EBIC",25,80,0.33,"FALSE","FALSE","FALSE","10.9400447208626","4.81881907328683","6.12122564757582","0.423","0.04","0.057","1,3,6,14,47,48,49,50,52,53,54",0.0417100009794814,FALSE,2,0,4,1,11,2,9,0.181818181818182,0.642857142857143
"EBIC",26,80,0.33,"FALSE","FALSE","FALSE","11.2850811981849","3.75947367615318","7.52560752203175","0.812","0.04","0.053","2,3,4,6,7,48,49,50,51,52,53,54,66",0.00879932253732093,FALSE,0,1,2,0,13,1,12,0.0769230769230769,0.857142857142857
"EBIC",27,80,0.33,"FALSE","FALSE","FALSE","10.7197398968934","4.43750655297622","6.28223334391716","0.967","0.041","0.054","2,4,5,6,27,34,48,49,50,51,52,53,54",0.0206361847012142,FALSE,2,0,3,0,13,2,11,0.153846153846154,0.785714285714286
"EBIC",28,80,0.33,"FALSE","FALSE","FALSE","10.0513641478819","4.15206802206607","5.89929612581583","0.618","0.038","0.063","2,3,4,5,6,7,49,50,51,52,53,54",0.00509361174670367,FALSE,0,0,1,1,12,0,12,0,0.857142857142857
