"method","sim","n","betamin","is.true.model.intop.kappa.o","is.true.model.intop.kappa.oplusLASSO","is.s.hat.nan","s.hat","s0.hat","s1.hat","time.l0","time.lasso.cv","time.scad.cv","sel.model","est.mse","recovery","nb.tI.b0","nb.tI.b1","nb.tII.b0","nb.tII.b1","est.size","FP","TP","FDR","power"
"EBIC",1,100,0.33,"FALSE","FALSE","FALSE","11.1449747891413","4.7664766535568","6.3784981355845","0.551","0.038","0.063","2,3,4,6,7,19,36,58,59,60,61,62,63,64,93",0.011270651589373,FALSE,2,1,2,0,15,3,12,0.2,0.857142857142857
"EBIC",10,100,0.33,"FALSE","FALSE","FALSE","10.3987816864459","4.67987879554618","5.7189028908997","0.599","0.038","0.063","2,3,4,5,6,7,59,60,61,62,63,64,78,84",0.00614334649159117,FALSE,0,2,1,1,14,2,12,0.142857142857143,0.857142857142857
"EBIC",100,100,0.33,"FALSE","FALSE","FALSE","11.1973294548677","5.07291798948736","6.12441146538031","0.64","0.038","0.063","1,2,3,4,6,7,21,59,60,61,62,63,64,99",0.0102055667313935,FALSE,1,1,1,1,14,2,12,0.142857142857143,0.857142857142857
"EBIC",11,100,0.33,"FALSE","FALSE","FALSE","10.5268921562962","4.33105668404143","6.19583547225482","0.494","0.042","0.065","1,2,3,4,6,7,59,60,61,62,63,64",0.00415985179379526,FALSE,0,0,1,1,12,0,12,0,0.857142857142857
"EBIC",12,100,0.33,"TRUE","TRUE","FALSE","11.7240530711462","5.37864285189214","6.34541021925404","0.71","0.041","0.075","1,2,3,4,5,6,7,59,60,61,62,63,64",0.00378393208771114,FALSE,0,0,0,1,13,0,13,0,0.928571428571429
"EBIC",13,100,0.33,"TRUE","TRUE","FALSE","10.8150036832916","4.31951049049873","6.49549319279284","0.751","0.037","0.071","1,2,3,4,5,6,7,58,59,60,61,62,63,64",0.00124535149602668,TRUE,0,0,0,0,14,0,14,0,1
"EBIC",14,100,0.33,"FALSE","FALSE","FALSE","9.25455411542116","4.07882740576348","5.17572670965768","0.481","0.038","0.054","2,4,5,6,7,59,60,61,62,63,64,69",0.0107476889731305,FALSE,0,1,2,1,12,1,11,0.0833333333333333,0.785714285714286
"EBIC",15,100,0.33,"FALSE","FALSE","FALSE","11.5698538458558","5.33920075247161","6.2306530933842","0.73","0.044","0.062","2,3,4,6,7,23,37,42,58,59,60,62,63,64",0.0156716701503099,FALSE,3,0,2,1,14,3,11,0.214285714285714,0.785714285714286
"EBIC",16,100,0.33,"FALSE","FALSE","FALSE","9.69242295580164","4.22972409567606","5.46269886012558","0.708","0.038","0.059","3,4,5,6,7,59,60,61,62,63,64",0.00631633823198495,FALSE,0,0,2,1,11,0,11,0,0.785714285714286
"EBIC",17,100,0.33,"FALSE","FALSE","FALSE","10.5930014975531","3.55955584341479","7.03344565413829","0.821","0.039","0.063","2,4,6,58,59,60,61,62,63,64,97",0.0161123369275742,FALSE,0,1,4,0,11,1,10,0.0909090909090909,0.714285714285714
"EBIC",18,100,0.33,"FALSE","FALSE","FALSE","10.8832929552882","4.53896015698386","6.34433279830435","0.685","0.042","0.066","2,4,6,7,25,59,60,61,62,63,64,79",0.0126651528460867,FALSE,1,1,3,1,12,2,10,0.166666666666667,0.714285714285714
"EBIC",19,100,0.33,"FALSE","FALSE","FALSE","10.5265727170862","3.90115150691998","6.62542121016622","0.703","0.041","0.068","2,4,6,7,9,59,60,61,62,63,64,99",0.0121754823314002,FALSE,1,1,3,1,12,2,10,0.166666666666667,0.714285714285714
"EBIC",2,100,0.33,"FALSE","FALSE","FALSE","10.5967918246951","4.61146301348256","5.98532881121258","0.72","0.042","0.074","2,3,4,5,6,7,59,60,61,62,63,64",0.00437330403558336,FALSE,0,0,1,1,12,0,12,0,0.857142857142857
"EBIC",20,100,0.33,"FALSE","FALSE","FALSE","11.5873906281604","4.13571716474766","7.45167346341274","1.023","0.04","0.071","3,4,5,6,7,58,59,60,61,62,63,64,102",0.00934669193593244,FALSE,0,1,2,0,13,1,12,0.0769230769230769,0.857142857142857
"EBIC",21,100,0.33,"FALSE","FALSE","FALSE","10.3605310306318","4.05385329547297","6.30667773515881","0.403","0.039","0.071","2,4,6,7,59,60,61,62,63,64,66",0.0112114264188199,FALSE,0,1,3,1,11,1,10,0.0909090909090909,0.714285714285714
"EBIC",22,100,0.33,"FALSE","FALSE","FALSE","10.6012009791906","3.98717768355256","6.61402329563801","0.648","0.043","0.077","2,3,4,5,6,7,58,59,60,61,62,63,64",0.00217549758027374,FALSE,0,0,1,0,13,0,13,0,0.928571428571429
"EBIC",23,100,0.33,"FALSE","FALSE","FALSE","10.5011724651695","4.70761592092811","5.79355654424136","0.805","0.039","0.06","2,3,4,5,6,7,58,59,60,61,62,63,64,66,88,112",0.0120291371816427,FALSE,0,3,1,0,16,3,13,0.1875,0.928571428571429
"EBIC",24,100,0.33,"FALSE","FALSE","FALSE","11.0112594744255","4.86990495234095","6.14135452208452","0.486","0.039","0.076","2,4,5,6,7,58,59,60,61,62,63,64",0.00612074986796026,FALSE,0,0,2,0,12,0,12,0,0.857142857142857
"EBIC",25,100,0.33,"FALSE","FALSE","FALSE","10.2745403257068","3.28384037708881","6.99069994861794","1.15","0.04","0.064","1,2,3,6,45,48,59,60,61,62,63,64,100",0.0211638098333338,FALSE,2,1,3,1,13,3,10,0.230769230769231,0.714285714285714
"EBIC",26,100,0.33,"FALSE","FALSE","FALSE","11.2567163928368","5.10214996302458","6.15456642981217","0.558","0.044","0.062","1,2,4,5,6,7,59,60,61,62,63,64",0.00551623119018705,FALSE,0,0,1,1,12,0,12,0,0.857142857142857
