"method","sim","n","betamin","is.true.model.intop.kappa.o","is.true.model.intop.kappa.oplusLASSO","is.s.hat.nan","s.hat","s0.hat","s1.hat","time.l0","time.lasso.cv","time.scad.cv","sel.model","est.mse","recovery","nb.tI.b0","nb.tI.b1","nb.tII.b0","nb.tII.b1","est.size","FP","TP","FDR","power"
"EBIC",1,40,0.33,"FALSE","FALSE","FALSE","7.75595152496199","4.15185091748393","3.60410060747806","0.192","0.028","0.02","2,3,4,6,19,27,28,29,30,31,38",0.0432347185415887,FALSE,1,1,2,1,11,2,9,0.181818181818182,0.75
"EBIC",10,40,0.33,"FALSE","FALSE","FALSE","6.52433230186693","2.86910644083805","3.65522586102888","0.301","0.03","0.02","2,4,6,9,29,30,31,32",0.0443654015280896,FALSE,1,0,3,2,8,1,7,0.125,0.583333333333333
"EBIC",100,40,0.33,"FALSE","FALSE","FALSE","5.22861842529757","1.772114975662","3.45650344963557","0.326","0.029","0.018","2,23,28,29,30,32,35",0.106938827428231,FALSE,1,1,5,2,7,2,5,0.285714285714286,0.416666666666667
"EBIC",11,40,0.33,"FALSE","FALSE","FALSE","5.26485808423518","1.71958323859715","3.54527484563804","0.397","0.03","0.023","2,9,23,28,30,32,47",0.143491205586931,FALSE,2,1,5,3,7,3,4,0.428571428571429,0.333333333333333
"EBIC",12,40,0.33,"FALSE","FALSE","FALSE","5.61764871531596","2.24282804510602","3.37482067020994","0.25","0.029","0.018","1,5,14,27,28,31,32,39,40",0.146777437749212,FALSE,1,2,4,2,9,3,6,0.333333333333333,0.5
"EBIC",13,40,0.33,"FALSE","FALSE","FALSE","4.95869983514063","1.78813801824391","3.17056181689672","0.385","0.03","0.021","6,11,14,29,30,31,32,36",0.154620769310372,FALSE,2,1,5,2,8,3,5,0.375,0.416666666666667
"EBIC",14,40,0.33,"FALSE","FALSE","FALSE","6.71902741046839","2.75405469947529","3.9649727109931","0.286","0.03","0.019","2,4,6,10,18,22,29,30,32,34,35,39,44",0.138030112955103,FALSE,3,4,3,3,13,7,6,0.538461538461538,0.5
"EBIC",15,40,0.33,"FALSE","FALSE","FALSE","5.77438753019772","3.00858570129409","2.76580182890362","0.245","0.03","0.025","2,4,6,28,29,30,32",0.0429790059915007,FALSE,0,0,3,2,7,0,7,0,0.583333333333333
"EBIC",16,40,0.33,"FALSE","FALSE","FALSE","6.9965510978341","3.54863756193856","3.44791353589555","0.285","0.029","0.02","2,3,4,6,29,30,39,48,51",0.0787959182570015,FALSE,0,3,2,4,9,3,6,0.333333333333333,0.5
"EBIC",17,40,0.33,"FALSE","FALSE","FALSE","6.5390059401625","1.94991965703547","4.58908628312703","0.339","0.029","0.024","4,6,23,29,30,31,32,33,46",0.100855333266753,FALSE,1,2,4,2,9,3,6,0.333333333333333,0.5
"EBIC",18,40,0.33,"FALSE","FALSE","FALSE","5.4412890094097","2.65311102626493","2.78817798314477","0.29","0.031","0.018","1,4,20,40,45,49",0.269878355486231,FALSE,1,3,4,6,6,4,2,0.666666666666667,0.166666666666667
"EBIC",19,40,0.33,"FALSE","FALSE","FALSE","5.94711998242974","3.46967102069888","2.47744896173087","0.243","0.033","0.022","2,3,4,5,6,29,30,33,43",0.0727578089561198,FALSE,0,2,1,4,9,2,7,0.222222222222222,0.583333333333333
"EBIC",2,40,0.33,"FALSE","FALSE","FALSE","6.70679464199615","3.98498331819103","2.72181132380512","0.318","0.029","0.018","1,4,5,6,9,27,28,31,32,37,39,48,50,51",0.117891250832724,FALSE,1,5,2,2,14,6,8,0.428571428571429,0.666666666666667
