"method","sim","n","betamin","is.true.model.intop.kappa.o","is.true.model.intop.kappa.oplusLASSO","is.s.hat.nan","s.hat","s0.hat","s1.hat","time.l0","time.lasso.cv","time.scad.cv","sel.model","est.mse","recovery","nb.tI","nb.tII","est.size","FP","TP","FDR","power"
"EBIC",1,60,0.33,"FALSE","FALSE","FALSE","7.66199628079741","6.84464463383481","0.817351646962607","0.582","0.034","0.033","1,2,3,4,5,6,9,10,11,12",0.00713355871682619,FALSE,0,2,10,0,10,0,0.833333333333333
"EBIC",10,60,0.33,"FALSE","FALSE","FALSE","6.81864548619378","5.53301299062864","1.28563249556513","0.554","0.033","0.03","1,2,3,4,5,6,8,10,11,12",0.00620310100802211,FALSE,0,2,10,0,10,0,0.833333333333333
"EBIC",100,60,0.33,"FALSE","FALSE","FALSE","7.95032075678226","6.48782379279512","1.46249696398715","0.58","0.034","0.03","1,3,5,6,7,8,10,11,12,14,66,71",0.029626077454955,FALSE,3,3,12,3,9,0.25,0.75
"EBIC",11,60,0.33,"FALSE","FALSE","FALSE","7.0122052266288","6.2837705390933","0.728434687535501","0.448","0.033","0.028","1,3,5,6,8,10,12,14,28,49",0.0391611579949372,FALSE,3,5,10,3,7,0.3,0.583333333333333
"EBIC",12,60,0.33,"FALSE","FALSE","FALSE","7.01180433913511","4.06226246937007","2.94954186976504","1.033","0.039","0.032","2,6,10,11,16,18,24,30,74,97,100",0.076951605147018,FALSE,7,8,11,7,4,0.636363636363636,0.333333333333333
"EBIC",13,60,0.33,"FALSE","FALSE","FALSE","7.44508359431675","5.54171192147748","1.90337167283928","0.59","0.036","0.029","5,6,7,10,11,12,18,30,72,85,99,102",0.0534132924081358,FALSE,6,6,12,6,6,0.5,0.5
"EBIC",14,60,0.33,"FALSE","FALSE","FALSE","8.29167401457778","6.09462545349076","2.19704856108701","0.52","0.034","0.028","1,3,5,6,10,11,12,70,79,91",0.0329062222068197,FALSE,3,5,10,3,7,0.3,0.583333333333333
"EBIC",15,60,0.33,"FALSE","FALSE","FALSE","6.92145498941188","6.03433736221176","0.88711762720012","0.405","0.033","0.032","1,3,5,6,10,12,14,17,75,100",0.0520656942827361,FALSE,4,6,10,4,6,0.4,0.5
"EBIC",16,60,0.33,"FALSE","FALSE","FALSE","6.95021184520214","6.16362571508292","0.786586130119218","0.429","0.033","0.029","1,3,5,6,8,10,12,14,36",0.0314487717881559,FALSE,2,5,9,2,7,0.222222222222222,0.583333333333333
"EBIC",17,60,0.33,"FALSE","FALSE","FALSE","6.71040102402772","6.22103989514195","0.489361128885769","0.328","0.034","0.027","1,2,3,5,6,10,11,12",0.0201954509064488,FALSE,0,4,8,0,8,0,0.666666666666667
"EBIC",18,60,0.33,"FALSE","FALSE","FALSE","6.92710520613239","3.96838761516881","2.95871759096358","0.717","0.035","0.029","5,7,10,11,12,14,29,49,54,77,102",0.070199768712096,FALSE,6,7,11,6,5,0.545454545454545,0.416666666666667
"EBIC",19,60,0.33,"FALSE","FALSE","FALSE","6.30580580520073","5.44154821999653","0.864257585204208","0.555","0.039","0.032","1,2,3,4,5,6,10,11,12",0.00926858608982993,FALSE,0,3,9,0,9,0,0.75
"EBIC",2,60,0.33,"FALSE","FALSE","FALSE","7.15977740642289","6.12140605996059","1.0383713464623","0.495","0.034","0.028","3,4,5,6,7,10,12,53",0.0305119851192716,FALSE,1,5,8,1,7,0.125,0.583333333333333
"EBIC",20,60,0.33,"FALSE","FALSE","FALSE","6.70694381353585","5.95540030697183","0.751543506564024","0.463","0.035","0.029","1,3,5,6,8,10,12,14",0.0291580777042752,FALSE,1,5,8,1,7,0.125,0.583333333333333
"EBIC",21,60,0.33,"FALSE","FALSE","FALSE","7.46548274039504","6.29774596663651","1.16773677375853","0.647","0.034","0.029","1,3,5,6,9,10,11,12,50,92,101",0.036274671791025,FALSE,3,4,11,3,8,0.272727272727273,0.666666666666667
"EBIC",22,60,0.33,"FALSE","FALSE","FALSE","6.97246888052445","6.2778158834201","0.694652997104343","0.485","0.035","0.028","1,2,3,5,6,10,11,12,67,70",0.022182483724408,FALSE,2,4,10,2,8,0.2,0.666666666666667
"EBIC",23,60,0.33,"FALSE","FALSE","FALSE","6.68725523836602","3.72382778732951","2.96342745103652","0.726","0.035","0.031","2,6,10,11,29,30,49,80,82,88",0.0852362761685521,FALSE,6,8,10,6,4,0.6,0.333333333333333
"EBIC",24,60,0.33,"FALSE","FALSE","FALSE","6.05868611346036","3.38762693543526","2.6710591780251","0.793","0.036","0.03","3,4,6,7,9,11,12,18,22,49",0.0552620808571457,FALSE,3,5,10,3,7,0.3,0.583333333333333
"EBIC",25,60,0.33,"FALSE","FALSE","FALSE","8.38364556244454","7.82027878936934","0.563366773075195","0.357","0.032","0.029","1,2,5,6,10,11,12,24,30,31,70,94",0.045253469378097,FALSE,5,5,12,5,7,0.416666666666667,0.583333333333333
"EBIC",26,60,0.33,"FALSE","FALSE","FALSE","7.03292336481466","5.88298119558645","1.14994216922821","0.509","0.036","0.03","1,3,5,6,10,11,12",0.0231833607720531,FALSE,0,5,7,0,7,0,0.583333333333333
"EBIC",27,60,0.33,"FALSE","FALSE","FALSE","8.79185188960806","2.69912378537003","6.09272810423803","0.653","0.04","0.035","2,3,6,8,12,15,42,54,74,76,90",0.101483504829512,FALSE,6,7,11,6,5,0.545454545454545,0.416666666666667
"EBIC",28,60,0.33,"FALSE","FALSE","FALSE","7.33045776265356","3.59397478237277","3.73648298028079","0.611","0.036","0.037","6,10,11,29,30,85,102",0.104380505385642,FALSE,4,9,7,4,3,0.571428571428571,0.25
"EBIC",29,60,0.33,"FALSE","FALSE","FALSE","7.83220497488114","6.75623871837186","1.07596625650928","0.664","0.035","0.035","1,2,4,6,8,9,10,11,12,44,49,64,69",0.0342739886496005,FALSE,4,3,13,4,9,0.307692307692308,0.75
"EBIC",3,60,0.33,"FALSE","FALSE","FALSE","5.90017885491453","5.13135102345685","0.768827831457675","0.455","0.033","0.025","1,3,5,6,10,11,12,15,23,34",0.0402860716641783,FALSE,3,5,10,3,7,0.3,0.583333333333333
"EBIC",30,60,0.33,"FALSE","FALSE","FALSE","7.31506919904817","6.0949942032509","1.22007499579728","0.631","0.033","0.029","1,2,5,6,10,11,12,13,57",0.0275588006444694,FALSE,2,5,9,2,7,0.222222222222222,0.583333333333333
"EBIC",31,60,0.33,"FALSE","FALSE","FALSE","7.89463191233866","5.55612290133689","2.33850901100177","0.894","0.035","0.035","1,5,6,8,10,11,12,14,27,49,84",0.0411758154781177,FALSE,4,5,11,4,7,0.363636363636364,0.583333333333333
"EBIC",32,60,0.33,"FALSE","FALSE","FALSE","6.09190448473349","3.04483391527861","3.04707056945489","0.511","0.036","0.033","2,4,10,11,30,34,100",0.0995136373334738,FALSE,3,8,7,3,4,0.428571428571429,0.333333333333333
"EBIC",33,60,0.33,"FALSE","FALSE","FALSE","7.5474246775105","5.928195317426","1.6192293600845","0.594","0.034","0.032","1,3,5,6,8,10,11,12,14,16,23",0.0367320191782579,FALSE,3,4,11,3,8,0.272727272727273,0.666666666666667
"EBIC",34,60,0.33,"FALSE","FALSE","FALSE","7.87494239722568","7.18007642838209","0.694865968843585","0.479","0.035","0.033","1,3,4,5,6,7,10,11,12,65,96",0.0166929431410464,FALSE,2,3,11,2,9,0.181818181818182,0.75
