"method","sim","n","betamin","is.true.model.intop.kappa.o","is.true.model.intop.kappa.oplusLASSO","is.s.hat.nan","s.hat","s0.hat","s1.hat","time.l0","sel.model","est.mse","recovery","nb.tI.b0","nb.tI.b1","nb.tII.b0","nb.tII.b1","est.size","FP","TP","FDR","power"
"EBIC",1,40,0.2,"TRUE","TRUE","FALSE","10.907046350932","5.92689146023672","4.98015489069525","0.222","1,2,3,4,5,6,7,8,10,11,13,14,15,16,17,18,19,20,22,23,24,25,26,27,28,30,31",0.373899076379642,FALSE,13,2,0,0,27,15,12,0.555555555555556,1
"EBIC",10,40,0.2,"FALSE","FALSE","FALSE","14.2734925405464","9.27332961572589","5.00016292482053","0.294","1,2,3,4,5,6,9,10,13,17,20,21,24,25,26,27,28,29,31",0.162381556119274,FALSE,6,2,0,1,19,8,11,0.421052631578947,0.916666666666667
"EBIC",100,40,0.2,"TRUE","TRUE","FALSE","11.0816972694921","5.98343455999717","5.09826270949492","0.225","1,2,3,4,5,6,7,10,20,24,25,26,27,28",0.069918679836851,FALSE,3,0,0,1,14,3,11,0.214285714285714,0.916666666666667
"EBIC",11,40,0.2,"TRUE","TRUE","FALSE","9.2698045034841","5.60460382909596","3.66520067438815","0.229","1,2,3,4,5,6,12,24,25,26,27,28",0.0556118880524837,FALSE,1,0,0,1,12,1,11,0.0833333333333333,0.916666666666667
"EBIC",12,40,0.2,"TRUE","TRUE","FALSE","11.5257802824615","6.50811691442637","5.01766336803516","0.202","1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31",0.194270126296437,FALSE,15,3,0,0,30,18,12,0.6,1
"EBIC",13,40,0.2,"TRUE","TRUE","FALSE","11.2101711005249","6.16523783406648","5.04493326645842","0.206","1,2,3,4,5,6,8,24,25,26,27,28",0.0445473522392043,FALSE,1,0,0,1,12,1,11,0.0833333333333333,0.916666666666667
"EBIC",14,40,0.2,"TRUE","TRUE","FALSE","11.5802497129305","6.24994455976773","5.33030515316273","0.313","1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31",0.16401207879172,FALSE,15,3,0,0,30,18,12,0.6,1
"EBIC",15,40,0.2,"TRUE","TRUE","FALSE","10.4662514541386","6.11307848236167","4.35317297177688","0.199","1,2,3,4,5,6,22,23,24,25,26,27,28",0.0726610095432701,FALSE,1,0,0,0,13,1,12,0.0769230769230769,1
"EBIC",16,40,0.2,"TRUE","TRUE","FALSE","10.3168383145403","6.04095396734522","4.27588434719503","0.249","1,2,3,4,5,6,7,9,10,11,16,17,18,19,20,21,23,24,25,26,27,28,29,30,31",0.195695217245074,FALSE,10,3,0,0,25,13,12,0.52,1
"EBIC",17,40,0.2,"TRUE","TRUE","FALSE","11.8741208129177","6.80632921481202","5.06779159810565","0.221","1,2,3,4,5,6,20,24,25,26,27,28",0.0642304961193732,FALSE,1,0,0,1,12,1,11,0.0833333333333333,0.916666666666667
"EBIC",18,40,0.2,"TRUE","TRUE","FALSE","11.1601290218639","6.13323266450771","5.02689635735622","0.169","1,2,3,4,5,6,24,25,26,27,28",0.012838987687548,FALSE,0,0,0,1,11,0,11,0,0.916666666666667
