"method","sim","n","betamin","is.true.model.intop.kappa.o","is.true.model.intop.kappa.oplusLASSO","is.s.hat.nan","s.hat","s0.hat","s1.hat","time.l0","sel.model","est.mse","recovery","nb.tI.b0","nb.tI.b1","nb.tII.b0","nb.tII.b1","est.size","FP","TP","FDR","power"
"EBIC",1,60,0.33,"FALSE","FALSE","FALSE","6.35218806270738","4.38424761573776","1.96794044696962","0.535","2,4,6,13,24,38,46",0.0796053877718726,FALSE,2,1,3,5,7,3,4,0.428571428571429,0.333333333333333
"EBIC",10,60,0.33,"FALSE","FALSE","FALSE","7.04743059284555","4.96582918503299","2.08160140781256","0.425","1,2,4,5,32,39,41",0.0573337515519595,FALSE,1,0,2,4,7,1,6,0.142857142857143,0.5
"EBIC",100,60,0.33,"FALSE","FALSE","FALSE","6.31714319088109","2.47292524762782","3.84421794325328","0.753","2,4,16,38,39,40,41,42,60",0.0336644123691533,FALSE,1,1,4,1,9,2,7,0.222222222222222,0.583333333333333
"EBIC",11,60,0.33,"FALSE","FALSE","FALSE","7.41743536463644","4.25711691043872","3.16031845419772","0.742","2,3,4,5,6,38,39,42,65",0.0195507029715892,FALSE,0,1,1,3,9,1,8,0.111111111111111,0.666666666666667
"EBIC",12,60,0.33,"FALSE","FALSE","FALSE","7.07618976382705","3.20151337940147","3.87467638442558","0.405","2,4,6,39,40,41,42,71",0.0430703202835288,FALSE,0,1,3,2,8,1,7,0.125,0.583333333333333
"EBIC",13,60,0.33,"FALSE","FALSE","FALSE","6.69330277844316","4.09296781173281","2.60033496671035","0.912","1,2,4,11,32,39,40,42,49,52",0.0557912981850993,FALSE,2,2,3,3,10,4,6,0.4,0.5
"EBIC",14,60,0.33,"FALSE","FALSE","FALSE","6.26976628171335","3.77965751234999","2.49010876936336","0.607","1,2,4,5,40,41,59",0.0545907262174995,FALSE,0,1,2,4,7,1,6,0.142857142857143,0.5
"EBIC",15,60,0.33,"FALSE","FALSE","FALSE","7.13847863662427","3.83815785657667","3.3003207800476","0.625","2,3,4,6,14,38,39,40,42",0.0289596236854758,FALSE,1,0,2,2,9,1,8,0.111111111111111,0.666666666666667
"EBIC",16,60,0.33,"FALSE","FALSE","FALSE","6.83437388461581","4.93027357363013","1.90410031098568","0.585","2,3,4,5,6,37,38,42",0.0248467026327115,FALSE,0,0,1,3,8,0,8,0,0.666666666666667
"EBIC",17,60,0.33,"FALSE","FALSE","FALSE","7.25751734783115","3.98512411201811","3.27239323581304","0.742","2,4,5,6,39,41,44,53",0.0413143921839204,FALSE,0,2,2,4,8,2,6,0.25,0.5
"EBIC",18,60,0.33,"FALSE","FALSE","FALSE","6.63988224798929","4.09371858541212","2.54616366257717","0.695","2,3,4,5,6,39,62,67",0.0497769251643186,FALSE,0,2,1,5,8,2,6,0.25,0.5
"EBIC",19,60,0.33,"FALSE","FALSE","FALSE","6.36370265185157","4.47047743794506","1.89322521390651","0.447","1,2,4,5,6,39,41",0.0378243798938057,FALSE,0,0,1,4,7,0,7,0,0.583333333333333
"EBIC",2,60,0.33,"FALSE","FALSE","FALSE","7.08278666258222","5.21684597719105","1.86594068539117","0.725","1,2,4,5,6,10,39,41,62",0.042321914796084,FALSE,1,1,1,4,9,2,7,0.222222222222222,0.583333333333333
"EBIC",20,60,0.33,"FALSE","FALSE","FALSE","6.83950197694615","3.58071275427334","3.25878922267281","0.672","2,4,6,38,39,40,41,42",0.020063015704602,FALSE,0,0,3,1,8,0,8,0,0.666666666666667
"EBIC",21,60,0.33,"FALSE","FALSE","FALSE","6.38025347079588","2.75179164269693","3.62846182809895","0.552","2,4,6,39,40,41,42",0.0346116129017751,FALSE,0,0,3,2,7,0,7,0,0.583333333333333
"EBIC",22,60,0.33,"FALSE","FALSE","FALSE","5.98125575774643","3.37956945270052","2.60168630504591","0.72","2,4,39,40,41,42,71",0.0547624996619379,FALSE,0,1,4,2,7,1,6,0.142857142857143,0.5
"EBIC",23,60,0.33,"FALSE","FALSE","FALSE","7.41906907043433","4.66484428912669","2.75422478130764","0.795","1,3,5,6,14,38,41,42,72",0.0619357904910935,FALSE,1,1,2,3,9,2,7,0.222222222222222,0.583333333333333
"EBIC",24,60,0.33,"FALSE","FALSE","FALSE","6.81847884767472","3.20219353137383","3.6162853163009","0.525","2,4,32,38,39,40,41,42",0.035224992449868,FALSE,1,0,4,1,8,1,7,0.125,0.583333333333333
"EBIC",25,60,0.33,"FALSE","FALSE","FALSE","7.17309423878101","4.12304483063319","3.05004940814783","0.883","2,3,5,6,25,37,38,42",0.0458151624911624,FALSE,1,0,2,3,8,1,7,0.125,0.583333333333333
"EBIC",26,60,0.33,"FALSE","FALSE","FALSE","6.60699890721433","4.13202726556063","2.4749716416537","0.826","1,2,3,4,5,8,39,41",0.0380846744398203,FALSE,1,0,1,4,8,1,7,0.125,0.583333333333333
"EBIC",27,60,0.33,"FALSE","FALSE","FALSE","7.13211502529913","3.68392729782255","3.44818772747658","0.84","2,3,4,15,17,24,38,40,42,45",0.0506602822103725,FALSE,3,1,3,3,10,4,6,0.4,0.5
"EBIC",28,60,0.33,"FALSE","FALSE","FALSE","6.88003301288276","2.99900230035034","3.88103071253241","0.58","2,3,4,6,38,39,40,41,42",0.0155780418748292,FALSE,0,0,2,1,9,0,9,0,0.75
"EBIC",29,60,0.33,"FALSE","FALSE","FALSE","7.0846517031151","3.53606276503344","3.54858893808165","0.536","2,3,4,6,10,12,38,39,40,42,62",0.0474700651232658,FALSE,2,1,2,2,11,3,8,0.272727272727273,0.666666666666667
"EBIC",3,60,0.33,"FALSE","FALSE","FALSE","5.65299833635964","3.54932080790858","2.10367752845106","0.543","1,2,4,5,6,14,39,41,65",0.0544970102158154,FALSE,1,1,1,4,9,2,7,0.222222222222222,0.583333333333333
"EBIC",30,60,0.33,"FALSE","FALSE","FALSE","7.92212682893558","4.1922322012234","3.72989462771218","0.622","2,3,4,6,16,26,39,40,42,52,56",0.0681020827850658,FALSE,2,2,2,3,11,4,7,0.363636363636364,0.583333333333333
"EBIC",31,60,0.33,"FALSE","FALSE","FALSE","5.47282195649824","3.0214807540462","2.45134120245205","0.51","2,4,6,30,37,38,39,42",0.0369539708572746,FALSE,1,0,3,2,8,1,7,0.125,0.583333333333333
"EBIC",32,60,0.33,"FALSE","FALSE","FALSE","5.90123772526921","3.80160512455023","2.09963260071899","0.522","1,2,4,5,40,41",0.0664142186044049,FALSE,0,0,2,4,6,0,6,0,0.5
"EBIC",33,60,0.33,"FALSE","FALSE","FALSE","7.78918015562096","3.02178174505033","4.76739841057063","0.728","2,4,17,34,39,40,41,42,54,57,70",0.0478550181409763,FALSE,2,3,4,2,11,5,6,0.454545454545455,0.5
"EBIC",34,60,0.33,"FALSE","FALSE","FALSE","6.91483963298255","4.41101030849725","2.5038293244853","0.92","1,2,4,5,6,13,33,46,52,65",0.0777549783614638,FALSE,2,3,1,6,10,5,5,0.5,0.416666666666667
"EBIC",35,60,0.33,"FALSE","FALSE","FALSE","7.64428804244581","4.60478614130322","3.03950190114259","0.586","1,2,3,4,5,6,18,25,38,42,46,52",0.037319120324743,FALSE,2,2,0,4,12,4,8,0.333333333333333,0.666666666666667
"EBIC",36,60,0.33,"FALSE","FALSE","FALSE","7.23063821712177","4.29332788510407","2.93731033201771","0.975","2,3,4,5,6,7,34,38,39,42,69",0.0346293143666068,FALSE,2,1,1,3,11,3,8,0.272727272727273,0.666666666666667
"EBIC",37,60,0.33,"FALSE","FALSE","FALSE","6.39214137804992","2.67221569316952","3.7199256848804","0.742","2,4,27,38,40,41,55,59",0.0625171544197309,FALSE,1,2,4,3,8,3,5,0.375,0.416666666666667
"EBIC",38,60,0.33,"FALSE","FALSE","FALSE","6.63098653475759","4.52229263574994","2.10869389900765","0.877","2,4,5,6,38,40,41,42,67",0.0225356693196987,FALSE,0,1,2,2,9,1,8,0.111111111111111,0.666666666666667
"EBIC",39,60,0.33,"FALSE","FALSE","FALSE","6.16388540087966","3.67707126826228","2.48681413261738","0.973","2,3,4,5,6,39,47,58",0.0462254988399908,FALSE,0,2,1,5,8,2,6,0.25,0.5
"EBIC",4,60,0.33,"FALSE","FALSE","FALSE","7.01653535857009","3.77987972983257","3.23665562873753","0.713","1,2,4,5,6,39,41,70",0.0411551788324585,FALSE,0,1,1,4,8,1,7,0.125,0.583333333333333
"EBIC",40,60,0.33,"FALSE","FALSE","FALSE","6.33392811871702","2.31060441534963","4.02332370336738","0.417","2,4,39,40,41,42",0.0532151131403717,FALSE,0,0,4,2,6,0,6,0,0.5
