"method","sim","n","betamin","is.true.model.intop.kappa.o","is.true.model.intop.kappa.oplusLASSO","is.s.hat.nan","s.hat","s0.hat","s1.hat","time.l0","sel.model","est.mse","recovery","nb.tI.b0","nb.tI.b1","nb.tII.b0","nb.tII.b1","est.size","FP","TP","FDR","power"
"EBIC",1,20,0.33,"FALSE","FALSE","FALSE","2.49740926692116","1.46635518309539","1.03105408382578","0.161","2,3,4,6,8,9,12,13,15,16,17,18,19,26,27,28",0.226227191075805,FALSE,5,4,1,0,16,9,7,0.5625,0.875
"EBIC",10,20,0.33,"FALSE","FALSE","FALSE","14.586547349435","6.52893681277847","8.05761053665649","0.115","1,2,3,4,8,9,11,12,14,15,16,17,18,19,20,21,22,25,26",0.454635437240829,FALSE,5,6,0,0,19,11,8,0.578947368421053,1
"EBIC",100,20,0.33,"FALSE","FALSE","FALSE","3.1507836522744","2.05226951640532","1.09851413586909","0.133","2,3,4,16",0.0594801489813418,FALSE,0,0,1,3,4,0,4,0,0.5
"EBIC",11,20,0.33,"FALSE","FALSE","FALSE","2.25686689068692","1.04434853058931","1.21251836009761","0.133","2,3,4,7,8,9,10,12,15,17,18,19,21,23,25",0.344340064849904,FALSE,5,4,1,1,15,9,6,0.6,0.75
"EBIC",12,20,0.33,"FALSE","FALSE","FALSE","2.91509804414033","1.71546730188125","1.19963074225908","0.15","2,4,8,16,17,25",0.0803665617567277,FALSE,1,1,2,2,6,2,4,0.333333333333333,0.5
"EBIC",13,20,0.33,"FALSE","FALSE","FALSE","3.88979335917794","1.94053875769095","1.94925460148699","0.103","2,4,5,17,18,24,26",0.180098692845747,FALSE,1,2,2,2,7,3,4,0.428571428571429,0.5
"EBIC",14,20,0.33,"FALSE","FALSE","FALSE","16.0842946472435","7.41825589062367","8.66603875661984","0.146","1,2,3,4,5,6,7,8,9,15,17,19,20,22,23,24,25,26,27",0.163574735896468,FALSE,5,8,0,2,19,13,6,0.684210526315789,0.75
"EBIC",15,20,0.33,"FALSE","FALSE","FALSE","3.77922319560565","2.0602618344301","1.71896136117555","0.11","1,2,3,16,17,20,22",0.145702461279465,FALSE,0,2,1,2,7,2,5,0.285714285714286,0.625
"EBIC",16,20,0.33,"FALSE","FALSE","FALSE","2.40916852789812","1.62114859194758","0.788019935950536","0.144","3,7,9,10,12,14,18,22",0.416717505043135,FALSE,5,1,3,3,8,6,2,0.75,0.25
"EBIC",17,20,0.33,"FALSE","FALSE","FALSE","19.5632653395644","8.81019892616778","10.7530664133966","0.089","1,2,4,5,6,7,8,10,12,15,16,17,18,19,20,22,23,24,25",0.359360864761876,FALSE,6,6,1,0,19,12,7,0.631578947368421,0.875
