"method","sim","n","betamin","is.true.model.intop.kappa.o","is.true.model.intop.kappa.oplusLASSO","is.s.hat.nan","s.hat","s0.hat","s1.hat","time.l0","sel.model","est.mse","recovery","nb.tI.b0","nb.tI.b1","nb.tII.b0","nb.tII.b1","est.size","FP","TP","FDR","power"
"EBIC",1,40,0.33,"FALSE","FALSE","FALSE","8.34364252606056","5.26649186175784","3.07715066430272","0.724","1,2,3,4,5,6,18,26,44,45,46,47,48",0.0365989765817925,FALSE,2,0,0,1,13,2,11,0.153846153846154,0.916666666666667
"EBIC",10,40,0.33,"FALSE","FALSE","FALSE","11.2267946716047","6.69505763618895","4.53173703541573","0.482","2,3,4,5,6,23,24,27,30,42,44,45,46,47,48",0.105446415082922,FALSE,5,0,1,1,15,5,10,0.333333333333333,0.833333333333333
"EBIC",100,40,0.33,"TRUE","TRUE","FALSE","11.2162008533005","6.16624286119207","5.04995799210838","0.357","1,2,3,4,5,6,44,45,46,47,48,50",0.0222395862293239,FALSE,0,1,0,1,12,1,11,0.0833333333333333,0.916666666666667
"EBIC",11,40,0.33,"TRUE","TRUE","FALSE","9.83413915368263","5.72565022430982","4.10848892937281","0.497","1,2,3,4,5,6,44,45,46,47,48",0.0251755611947764,FALSE,0,0,0,1,11,0,11,0,0.916666666666667
"EBIC",12,40,0.33,"TRUE","TRUE","FALSE","12.0306645007156","6.45942565433427","5.57123884638128","0.579","1,2,3,4,5,6,12,15,32,43,44,45,46,47,48,49",0.0497861896771127,FALSE,3,1,0,0,16,4,12,0.25,1
"EBIC",13,40,0.33,"TRUE","TRUE","FALSE","11.9260061142325","6.96899802790085","4.95700808633166","0.502","1,2,3,4,5,6,8,27,33,38,44,45,46,47,48",0.0544029875999525,FALSE,4,0,0,1,15,4,11,0.266666666666667,0.916666666666667
"EBIC",14,40,0.33,"TRUE","TRUE","FALSE","10.9966816839184","6.88508587595652","4.1115958079619","0.464","1,2,3,4,5,6,24,40,41,43,44,45,46,48",0.0671029380886738,FALSE,3,0,0,1,14,3,11,0.214285714285714,0.916666666666667
"EBIC",15,40,0.33,"TRUE","TRUE","FALSE","10.3622021333923","5.9471434736585","4.41505865973379","0.512","1,2,3,4,5,6,17,43,44,45,46,47,48",0.0179883231768771,FALSE,1,0,0,0,13,1,12,0.0769230769230769,1
"EBIC",16,40,0.33,"TRUE","TRUE","FALSE","10.956279103164","5.9894074323787","4.96687167078528","0.442","1,2,3,4,5,6,31,44,45,46,47,48",0.0167951563505216,FALSE,1,0,0,1,12,1,11,0.0833333333333333,0.916666666666667
"EBIC",17,40,0.33,"FALSE","FALSE","FALSE","14.5558927637894","9.39267201286671","5.16322075092269","0.469","1,2,3,4,5,6,18,19,20,27,29,37,44,45,46,47,48,50",0.123068788172724,FALSE,6,1,0,1,18,7,11,0.388888888888889,0.916666666666667
"EBIC",18,40,0.33,"TRUE","TRUE","FALSE","11.2669239976129","6.24671234343689","5.02021165417599","0.313","1,2,3,4,5,6,44,45,46,47,48",0.0128739352805943,FALSE,0,0,0,1,11,0,11,0,0.916666666666667
"EBIC",19,40,0.33,"TRUE","TRUE","FALSE","9.28201991934499","5.50762668968629","3.77439322965871","0.826","1,2,3,4,5,6,31,33,43,44,45,46,47,48",0.0435030983504774,FALSE,2,0,0,0,14,2,12,0.142857142857143,1
"EBIC",2,40,0.33,"FALSE","FALSE","FALSE","10.2361294391497","5.89883803606823","4.3372914030815","0.64","2,3,4,5,6,12,24,41,42,44,45,46,47,48",0.098087074853989,FALSE,4,0,1,1,14,4,10,0.285714285714286,0.833333333333333
"EBIC",20,40,0.33,"TRUE","TRUE","FALSE","10.7253159457919","5.53844901184156","5.18686693395033","0.432","1,2,3,4,5,6,44,45,46,47,48",0.0106933213703644,FALSE,0,0,0,1,11,0,11,0,0.916666666666667
"EBIC",21,40,0.33,"TRUE","TRUE","FALSE","9.96152685545465","5.82398070922213","4.13754614623251","0.707","1,2,3,4,5,6,9,13,19,29,44,45,46,47,48",0.0870707187824003,FALSE,4,0,0,1,15,4,11,0.266666666666667,0.916666666666667
"EBIC",22,40,0.33,"TRUE","TRUE","FALSE","11.0644111571447","6.03214420010604","5.03226695703867","0.489","1,2,3,4,5,6,20,33,44,45,46,47,48",0.0432873264658786,FALSE,2,0,0,1,13,2,11,0.153846153846154,0.916666666666667
"EBIC",23,40,0.33,"TRUE","TRUE","FALSE","11.2009686513824","6.13393445075906","5.06703420062333","0.42","1,2,3,4,5,6,8,28,30,32,37,40,44,45,46,47,48",0.0518755873356021,FALSE,6,0,0,1,17,6,11,0.352941176470588,0.916666666666667
"EBIC",24,40,0.33,"TRUE","TRUE","FALSE","11.2561348603498","6.33014616046505","4.92598869988471","0.38","1,2,3,4,5,6,18,24,40,44,45,46,47,48",0.0537862105285562,FALSE,3,0,0,1,14,3,11,0.214285714285714,0.916666666666667
"EBIC",25,40,0.33,"TRUE","TRUE","FALSE","11.5849281670093","6.52347805409386","5.06145011291541","0.414","1,2,3,4,5,6,8,17,25,44,45,46,47,48",0.0278692202519248,FALSE,3,0,0,1,14,3,11,0.214285714285714,0.916666666666667
"EBIC",26,40,0.33,"TRUE","TRUE","FALSE","11.9423006734774","7.03526093481512","4.90703973866224","0.396","1,2,3,4,5,6,30,44,45,46,47,48",0.0170800107808634,FALSE,1,0,0,1,12,1,11,0.0833333333333333,0.916666666666667
"EBIC",27,40,0.33,"TRUE","TRUE","FALSE","16.5661281432762","9.87758984904909","6.68853829422708","0.631","2,3,4,5,6,10,12,15,18,19,23,32,38,42,43,44,45,46,47,48,51",0.118057880977277,FALSE,9,1,1,0,21,10,11,0.476190476190476,0.916666666666667
"EBIC",28,40,0.33,"TRUE","TRUE","FALSE","11.4443818065826","6.34987658588627","5.09450522069629","0.396","1,2,3,4,5,6,33,40,43,44,45,46,47,48,50",0.0325747738710771,FALSE,2,1,0,0,15,3,12,0.2,1
"EBIC",29,40,0.33,"TRUE","TRUE","FALSE","9.43904357294437","5.48262840126819","3.95641517167618","0.706","1,2,3,4,5,16,17,23,33,40,41,44,45,46,47,48,49,50",0.176766072687133,FALSE,6,2,1,1,18,8,10,0.444444444444444,0.833333333333333
"EBIC",3,40,0.33,"FALSE","FALSE","FALSE","12.182869124298","7.16151906881518","5.02135005548284","0.65","1,2,3,4,5,6,14,19,21,24,25,28,37,44,45,46,47,48",0.0725220293998363,FALSE,7,0,0,1,18,7,11,0.388888888888889,0.916666666666667
"EBIC",30,40,0.33,"TRUE","TRUE","FALSE","11.2519866238125","6.24702444145476","5.00496218235778","0.336","1,2,3,4,5,6,21,44,45,46,47,48",0.0147457769654962,FALSE,1,0,0,1,12,1,11,0.0833333333333333,0.916666666666667
