"method","sim","n","betamin","is.true.model.intop.kappa.o","is.true.model.intop.kappa.oplusLASSO","is.s.hat.nan","s.hat","s0.hat","s1.hat","time.l0","sel.model","est.mse","recovery","nb.tI.b0","nb.tI.b1","nb.tII.b0","nb.tII.b1","est.size","FP","TP","FDR","power"
"EBIC",1,60,0.33,"FALSE","FALSE","FALSE","6.72008191900486","4.53454447491661","2.18553744408826","0.551","2,3,4,5,6,53,64,67",0.0397276088807595,FALSE,1,0,1,4,8,1,7,0.125,0.583333333333333
"EBIC",10,60,0.33,"FALSE","FALSE","FALSE","7.57836484538382","5.02896760369194","2.54939724169188","0.376","1,2,4,5,32,41,63,64,66",0.0437257294200178,FALSE,2,0,2,3,9,2,7,0.222222222222222,0.583333333333333
"EBIC",100,60,0.33,"FALSE","FALSE","FALSE","6.67723122539018","4.05842714379333","2.61880408159685","0.67","1,2,4,60,63,64,65,66,67",0.0317865364552785,FALSE,1,0,3,1,9,1,8,0.111111111111111,0.666666666666667
"EBIC",11,60,0.33,"FALSE","FALSE","FALSE","7.96289677139356","3.41731027279306","4.54558649860049","0.502","2,3,4,5,6,15,63,64,65,66,67",0.0137856970752225,FALSE,1,0,1,1,11,1,10,0.0909090909090909,0.833333333333333
"EBIC",12,60,0.33,"FALSE","FALSE","FALSE","7.630014589801","4.76254195435139","2.86747263544962","0.464","2,3,4,6,39,63,64,65,67",0.0293461108895773,FALSE,1,0,2,2,9,1,8,0.111111111111111,0.666666666666667
"EBIC",13,60,0.33,"FALSE","FALSE","FALSE","7.4918652862909","6.12197886719514","1.36988641909576","0.912","1,2,4,10,11,32,40,63,64,69",0.0574578184036439,FALSE,4,1,3,4,10,5,5,0.5,0.416666666666667
"EBIC",14,60,0.33,"FALSE","FALSE","FALSE","6.90816095594362","4.21419371143161","2.69396724451201","0.495","1,2,3,4,5,40,63,64,65",0.0299328604842676,FALSE,1,0,1,3,9,1,8,0.111111111111111,0.666666666666667
"EBIC",15,60,0.33,"FALSE","FALSE","FALSE","7.95628607317646","3.31826841522603","4.63801765795044","0.352","2,4,6,63,64,65,66,67",0.024815545857089,FALSE,0,0,3,1,8,0,8,0,0.666666666666667
"EBIC",16,60,0.33,"FALSE","FALSE","FALSE","7.36351039650137","5.1102863264904","2.25322407001097","0.653","2,3,4,5,6,63,64,66,67",0.01387667960363,FALSE,0,0,1,2,9,0,9,0,0.75
"EBIC",17,60,0.33,"FALSE","FALSE","FALSE","8.35156873548806","4.65734029448066","3.69422844100739","0.627","2,3,4,5,6,62,63,64,66,67",0.010436590113562,FALSE,0,0,1,1,10,0,10,0,0.833333333333333
"EBIC",18,60,0.33,"FALSE","FALSE","FALSE","6.47888126072303","3.13937019302624","3.3395110676968","0.465","2,3,4,5,6,63,64,65,67",0.0162860434968375,FALSE,0,0,1,2,9,0,9,0,0.75
"EBIC",19,60,0.33,"FALSE","FALSE","FALSE","7.99722882556384","4.6638432763164","3.33338554924744","0.362","1,2,4,5,6,63,64,65,66",0.020409200329579,FALSE,0,0,1,2,9,0,9,0,0.75
"EBIC",2,60,0.33,"FALSE","FALSE","FALSE","6.97542428145244","5.542562641759","1.43286163969344","0.695","1,2,3,4,5,6,10,16,62,63",0.0361885827530455,FALSE,2,0,0,4,10,2,8,0.2,0.666666666666667
"EBIC",20,60,0.33,"FALSE","FALSE","FALSE","7.34550195691563","4.50530817737724","2.84019377953839","0.807","2,4,6,13,39,62,63,64,66",0.0389953244489823,FALSE,2,0,3,2,9,2,7,0.222222222222222,0.583333333333333
"EBIC",21,60,0.33,"FALSE","FALSE","FALSE","6.76906862108452","6.16024342330474","0.608825197779785","0.66","1,2,4,6,13,41,45,59,64,66",0.0559230494537958,FALSE,4,0,2,4,10,4,6,0.4,0.5
"EBIC",22,60,0.33,"FALSE","FALSE","FALSE","6.57750860071197","4.40315585677452","2.17435274393745","0.882","1,2,3,4,5,8,63,64,66",0.0261035978930381,FALSE,1,0,1,3,9,1,8,0.111111111111111,0.666666666666667
"EBIC",23,60,0.33,"FALSE","FALSE","FALSE","6.59306474230222","5.14437600277735","1.44868873952488","0.821","1,2,5,6,41,63,64,65,71",0.0640617472429955,FALSE,1,1,2,3,9,2,7,0.222222222222222,0.583333333333333
"EBIC",24,60,0.33,"FALSE","FALSE","FALSE","6.47851658360477","5.27277432078936","1.20574226281542","0.819","2,3,4,5,32,63,64,67",0.0339219705477879,FALSE,1,0,2,3,8,1,7,0.125,0.583333333333333
"EBIC",25,60,0.33,"FALSE","FALSE","FALSE","6.91868541366022","4.86215377986014","2.05653163380009","0.956","2,3,5,6,15,37,52,62,63,66",0.0556802026021187,FALSE,3,0,2,3,10,3,7,0.3,0.583333333333333
