"method","sim","n","betamin","is.true.model.intop.kappa.o","is.true.model.intop.kappa.oplusLASSO","is.s.hat.nan","s.hat","s0.hat","s1.hat","time.l0","sel.model","est.mse","recovery","nb.tI.b0","nb.tI.b1","nb.tII.b0","nb.tII.b1","est.size","FP","TP","FDR","power"
"EBIC",1,20,0.33,"FALSE","FALSE","FALSE","3.56183980274585","2.36344159389111","1.19839820885475","0.15","1,2,3,4,5,6,8,12,13,14,16,19,22,23,24,25,26,27",0.481069471182963,FALSE,8,2,0,0,18,10,8,0.555555555555556,1
"EBIC",10,20,0.33,"FALSE","FALSE","FALSE","20","17","3","0.072","1,2,3,4,6,8,9,10,11,12,13,14,15,17,18,19,21,22,23",0.461524559606384,FALSE,13,0,0,2,19,13,6,0.684210526315789,0.75
"EBIC",100,20,0.33,"FALSE","FALSE","FALSE","16.145965070088","12.9444550585952","3.20151001149282","0.102","1,2,3,7,9,12,14,15,16,17,18,19,20,21,23,24,25,27",0.295492988688127,FALSE,11,1,1,1,18,12,6,0.666666666666667,0.75
"EBIC",11,20,0.33,"FALSE","FALSE","FALSE","18.1456092757752","12.7389335896963","5.40667568607897","0.124","2,4,5,6,7,9,10,11,13,14,16,17,19,21,22,23,24,25,26",0.578517749597335,FALSE,12,1,2,0,19,13,6,0.684210526315789,0.75
"EBIC",12,20,0.33,"FALSE","FALSE","FALSE","3.38197046839603","2.29344627229921","1.08852419609682","0.14","1,2,4,6,7,8,10,12,13,14,18,19,22,23,25,27",0.338141048138234,FALSE,9,1,1,1,16,10,6,0.625,0.75
"EBIC",13,20,0.33,"FALSE","FALSE","FALSE","3.94216614321327","2.32363346516249","1.61853267805078","0.141","1,2,3,4,6,9,18,19,21,22,23,24",0.161574032077165,FALSE,5,0,0,1,12,5,7,0.416666666666667,0.875
"EBIC",14,20,0.33,"FALSE","FALSE","FALSE","20","15","5","0.087","1,2,3,4,5,6,11,13,14,15,17,19,20,22,24,25,27",0.503071507250125,FALSE,9,1,0,1,17,10,7,0.588235294117647,0.875
"EBIC",15,20,0.33,"FALSE","FALSE","FALSE","3.88836806600701","2.76721183265116","1.12115623335586","0.147","2,3,5,12,17,21,22,24,26",0.338277698280181,FALSE,4,1,2,2,9,5,4,0.555555555555556,0.5
"EBIC",16,20,0.33,"FALSE","FALSE","FALSE","2.68038608697151","1.92786620959146","0.752519877380049","0.153","2,3,4,6,7,10,11,12,13,15,18,19,20,23,24,25,27",0.505800576923515,FALSE,10,1,1,1,17,11,6,0.647058823529412,0.75
"EBIC",17,20,0.33,"FALSE","FALSE","FALSE","1.06083485672391","0.818336958771814","0.242497897952098","0.112","1,2,3,4,5,6,8,13,16,19,20,21,22,23,26",0.355182507910746,FALSE,8,1,0,2,15,9,6,0.6,0.75
"EBIC",18,20,0.33,"FALSE","FALSE","FALSE","1.07827199433967","0.901854195834594","0.176417798505078","0.11","8,9,10,13,14,15,19,27",1.41407984125711,FALSE,7,1,4,4,8,8,0,1,0
"EBIC",19,20,0.33,"FALSE","FALSE","FALSE","20","15","5","0.072","1,2,3,5,6,7,8,9,10,11,12,14,15,16,17,22,23,25,26",11.5886548961759,FALSE,12,1,1,1,19,13,6,0.684210526315789,0.75
"EBIC",2,20,0.33,"FALSE","FALSE","FALSE","19.7705261388018","15.8184264132207","3.95209972558112","0.075","1,3,4,5,11,13,14,16,18,19,21,22,23,25,27",0.553106469221769,FALSE,8,1,1,1,15,9,6,0.6,0.75
