"method","sim","n","betamin","is.true.model.intop.kappa.o","is.true.model.intop.kappa.oplusLASSO","is.s.hat.nan","s.hat","s0.hat","s1.hat","time.l0","time.lasso.cv","time.scad.cv","sel.model","est.mse","recovery","nb.tI.b0","nb.tI.b1","nb.tII.b0","nb.tII.b1","est.size","FP","TP","FDR","power"
"EBIC",1,80,0.33,"FALSE","FALSE","FALSE","10.7613059416776","4.7518659564071","6.00943998527046","0.374","0.036","0.049","1,2,3,4,6,7,84,85,86,87,88,89",0.00993522168508633,FALSE,0,0,1,1,12,0,12,0,0.857142857142857
"EBIC",10,80,0.33,"FALSE","FALSE","FALSE","9.73635369427987","3.43652323543362","6.29983045884625","0.329","0.035","0.043","4,6,7,83,84,85,86,87,88,89",0.0190246991616786,FALSE,0,0,4,0,10,0,10,0,0.714285714285714
"EBIC",100,80,0.33,"FALSE","FALSE","FALSE","10.1213229236499","5.07450415861936","5.04681876503057","0.475","0.036","0.047","1,2,3,4,5,6,7,37,39,84,85,86,87,88,89",0.010513511598571,FALSE,2,0,0,1,15,2,13,0.133333333333333,0.928571428571429
"EBIC",11,80,0.33,"FALSE","FALSE","FALSE","11.1409147897148","4.14272746523114","6.99818732448363","0.277","0.04","0.048","4,6,7,30,83,84,85,86,87,88,89",0.0203600001873725,FALSE,1,0,4,0,11,1,10,0.0909090909090909,0.714285714285714
"EBIC",12,80,0.33,"FALSE","FALSE","FALSE","10.3377957193104","4.75306786863035","5.58472785068005","0.496","0.04","0.048","3,4,5,6,7,83,84,85,86,87,88,89",0.00993583489430518,FALSE,0,0,2,0,12,0,12,0,0.857142857142857
"EBIC",13,80,0.33,"FALSE","FALSE","FALSE","7.98100564061355","5.09614956255063","2.88485607806292","0.634","0.035","0.038","1,3,5,6,7,26,84,85,86,87,88,89",0.0182976134675276,FALSE,1,0,2,1,12,1,11,0.0833333333333333,0.785714285714286
"EBIC",14,80,0.33,"FALSE","FALSE","FALSE","9.99122409398249","4.50213865111587","5.48908544286662","0.455","0.034","0.046","2,4,6,7,59,60,84,85,86,87,88,89",0.0281660036453444,FALSE,2,0,3,1,12,2,10,0.166666666666667,0.714285714285714
"EBIC",15,80,0.33,"FALSE","FALSE","FALSE","10.5452319571243","4.47794698723789","6.06728496988642","0.396","0.041","0.054","2,4,6,7,78,84,85,86,87,88,89",0.016662675839655,FALSE,1,0,3,1,11,1,10,0.0909090909090909,0.714285714285714
"EBIC",16,80,0.33,"FALSE","FALSE","FALSE","9.94772783034947","3.96761130809325","5.98011652225622","0.447","0.034","0.045","1,3,4,5,6,7,39,50,84,85,86,87,88,89",0.017523180841013,FALSE,2,0,1,1,14,2,12,0.142857142857143,0.857142857142857
"EBIC",17,80,0.33,"FALSE","FALSE","FALSE","9.89030554713833","4.17506439985799","5.71524114728034","0.681","0.038","0.05","2,4,6,7,30,38,50,84,85,86,87,88,89",0.0297820500108878,FALSE,3,0,3,1,13,3,10,0.230769230769231,0.714285714285714
"EBIC",18,80,0.33,"FALSE","FALSE","FALSE","10.3724114278699","4.9217140604676","5.45069736740228","0.553","0.035","0.05","2,4,5,6,7,73,74,84,85,87,88,89",0.0189494792680005,FALSE,2,0,2,2,12,2,10,0.166666666666667,0.714285714285714
"EBIC",19,80,0.33,"FALSE","FALSE","FALSE","8.55015045620703","6.14145230927141","2.40869814693562","0.741","0.036","0.045","1,2,3,4,5,6,7,65,84,85,87,88,89",0.0142438539188442,FALSE,1,0,0,2,13,1,12,0.0769230769230769,0.857142857142857
"EBIC",2,80,0.33,"FALSE","FALSE","FALSE","8.55273683980221","6.32210439864941","2.2306324411528","0.375","0.035","0.043","1,3,4,5,6,7,12,83,84,85,88,89",0.0256542012099915,FALSE,1,0,1,2,12,1,11,0.0833333333333333,0.785714285714286
"EBIC",20,80,0.33,"FALSE","FALSE","FALSE","9.35793758209209","5.42138488338035","3.93655269871174","0.613","0.035","0.045","3,4,5,6,7,21,52,74,84,85,87,88,89,90",0.0316276666521584,FALSE,3,1,2,2,14,4,10,0.285714285714286,0.714285714285714
"EBIC",21,80,0.33,"FALSE","FALSE","FALSE","10.8435676403658","6.00153233166212","4.84203530870365","0.667","0.035","0.042","2,3,4,5,6,42,80,83,84,85,87,88,89,90",0.0207114722312136,FALSE,2,1,2,1,14,3,11,0.214285714285714,0.785714285714286
"EBIC",22,80,0.33,"FALSE","FALSE","FALSE","10.7369590277425","5.15272036946988","5.58423865827259","0.538","0.039","0.049","1,2,3,4,6,7,15,44,84,85,86,87,88,89",0.00868635017585905,FALSE,2,0,1,1,14,2,12,0.142857142857143,0.857142857142857
"EBIC",23,80,0.33,"FALSE","FALSE","FALSE","10.6324828328372","5.05518377843019","5.57729905440698","0.612","0.035","0.044","2,3,4,5,6,7,26,44,47,84,85,86,87,88,89",0.0164061493428212,FALSE,3,0,1,1,15,3,12,0.2,0.857142857142857
"EBIC",24,80,0.33,"FALSE","FALSE","FALSE","8.90511481193718","2.71743299138374","6.18768182055344","0.666","0.035","0.049","4,6,7,83,84,85,86,87,88,89,93",0.0203446796385624,FALSE,0,1,4,0,11,1,10,0.0909090909090909,0.714285714285714
"EBIC",25,80,0.33,"FALSE","FALSE","FALSE","9.98762400844972","5.88909085473378","4.09853315371594","0.819","0.034","0.048","1,3,6,7,14,49,83,84,85,86,87,88,89",0.0279995865023363,FALSE,2,0,3,0,13,2,11,0.153846153846154,0.785714285714286
"EBIC",26,80,0.33,"FALSE","FALSE","FALSE","10.3399113268466","5.72532265065198","4.61458867619463","1.03","0.037","0.051","1,2,3,6,14,61,66,72,84,85,86,87,88,89",0.0296964603252303,FALSE,4,0,3,1,14,4,10,0.285714285714286,0.714285714285714
"EBIC",27,80,0.33,"FALSE","FALSE","FALSE","10.8002498670641","4.60490479276377","6.19534507430033","0.709","0.042","0.06","4,6,7,10,20,44,83,84,85,86,87,88,89",0.0336288028382717,FALSE,3,0,4,0,13,3,10,0.230769230769231,0.714285714285714
"EBIC",28,80,0.33,"TRUE","TRUE","FALSE","10.6235642265981","4.10320394436593","6.52036028223216","0.511","0.033","0.048","1,2,3,4,6,7,83,84,85,86,87,88,89",0.00521408051699351,FALSE,0,0,1,0,13,0,13,0,0.928571428571429
"EBIC",29,80,0.33,"FALSE","FALSE","FALSE","8.99039911133001","4.62117273590908","4.36922637542093","0.576","0.039","0.043","1,3,4,5,6,7,39,84,85,87,88,89",0.0234065684747638,FALSE,1,0,1,2,12,1,11,0.0833333333333333,0.785714285714286
"EBIC",3,80,0.33,"FALSE","FALSE","FALSE","9.30645509823627","4.7343239421052","4.57213115613106","0.723","0.036","0.049","1,2,4,6,62,84,86,87,89,90",0.0509708462485357,FALSE,1,1,3,3,10,2,8,0.2,0.571428571428571
"EBIC",30,80,0.33,"FALSE","FALSE","FALSE","10.6970377684638","5.33737097620384","5.35966679225994","0.53","0.035","0.044","1,3,4,5,6,7,44,65,84,85,86,87,88,89",0.0122428085886884,FALSE,2,0,1,1,14,2,12,0.142857142857143,0.857142857142857
"EBIC",31,80,0.33,"FALSE","FALSE","FALSE","8.84491483549212","3.66898796025927","5.17592687523284","0.64","0.035","0.044","1,3,5,6,7,84,85,87,88,89",0.0203041293514131,FALSE,0,0,2,2,10,0,10,0,0.714285714285714
"EBIC",32,80,0.33,"FALSE","FALSE","FALSE","10.2670737490401","6.22642354979423","4.04065019924586","0.65","0.035","0.039","2,3,4,6,7,21,84,85,86,87,88,89",0.0176801026337156,FALSE,1,0,2,1,12,1,11,0.0833333333333333,0.785714285714286
"EBIC",33,80,0.33,"FALSE","FALSE","FALSE","11.0275678108398","4.90730492287558","6.12026288796426","0.592","0.035","0.054","2,3,4,6,7,83,84,85,86,87,88,89",0.00867063390651299,FALSE,0,0,2,0,12,0,12,0,0.857142857142857
"EBIC",34,80,0.33,"FALSE","FALSE","FALSE","10.3152322537475","6.98383183817176","3.33140041557574","0.745","0.034","0.046","1,2,3,4,5,6,7,34,78,84,85,87,88,89",0.0167285792558055,FALSE,2,0,0,2,14,2,12,0.142857142857143,0.857142857142857
"EBIC",35,80,0.33,"FALSE","FALSE","FALSE","9.65950810277178","4.37768797752906","5.28182012524272","0.746","0.035","0.046","1,3,4,5,6,7,84,85,86,87,88,89",0.00826602557082415,FALSE,0,0,1,1,12,0,12,0,0.857142857142857
"EBIC",36,80,0.33,"FALSE","FALSE","FALSE","9.88512775969969","3.89276875319527","5.99235900650442","0.358","0.037","0.053","1,3,4,6,7,80,84,85,86,87,88,89",0.0174096373611713,FALSE,1,0,2,1,12,1,11,0.0833333333333333,0.785714285714286
"EBIC",37,80,0.33,"FALSE","FALSE","FALSE","11.1588212373696","5.81017974467364","5.34864149269591","0.426","0.044","0.043","2,3,4,5,6,7,84,85,86,87,88,89",0.00756868976917583,FALSE,0,0,1,1,12,0,12,0,0.857142857142857
"EBIC",38,80,0.33,"FALSE","FALSE","FALSE","8.57269967429999","3.58412915295959","4.9885705213404","0.532","0.039","0.051","2,4,6,7,84,85,86,87,88,89",0.0207142617349924,FALSE,0,0,3,1,10,0,10,0,0.714285714285714
"EBIC",39,80,0.33,"FALSE","FALSE","FALSE","9.55567473817381","5.24142834487402","4.31424639329979","0.857","0.037","0.044","1,2,3,4,5,6,7,70,84,85,86,87,88,89",0.00482187118029059,FALSE,1,0,0,1,14,1,13,0.0714285714285714,0.928571428571429
"EBIC",4,80,0.33,"FALSE","FALSE","FALSE","10.6046827892142","5.00395412082602","5.60072866838821","0.499","0.036","0.049","3,4,5,6,7,23,33,74,84,85,86,87,88,89",0.0218680756077476,FALSE,3,0,2,1,14,3,11,0.214285714285714,0.785714285714286
"EBIC",40,80,0.33,"FALSE","FALSE","FALSE","9.94138810942628","4.49573318579797","5.44565492362832","0.597","0.036","0.055","2,4,6,7,84,85,86,87,88,89",0.0165764384009125,FALSE,0,0,3,1,10,0,10,0,0.714285714285714
"EBIC",41,80,0.33,"FALSE","FALSE","FALSE","10.5760548109118","4.05910193953191","6.51695287137985","0.455","0.041","0.05","4,5,6,7,34,53,83,84,85,86,87,88,89",0.0215875328830452,FALSE,2,0,3,0,13,2,11,0.153846153846154,0.785714285714286
"EBIC",42,80,0.33,"FALSE","FALSE","FALSE","8.7951229132667","2.64279926262282","6.15232365064388","0.436","0.034","0.049","2,3,4,6,7,83,84,85,86,87,88,89",0.012377404202551,FALSE,0,0,2,0,12,0,12,0,0.857142857142857
"EBIC",43,80,0.33,"FALSE","FALSE","FALSE","10.9006120607344","5.74005073448675","5.16056132624767","0.449","0.034","0.04","2,3,4,5,6,7,79,83,84,85,87,88,89",0.0150207626813825,FALSE,1,0,1,1,13,1,12,0.0769230769230769,0.857142857142857
"EBIC",44,80,0.33,"FALSE","FALSE","FALSE","11.1338860464064","5.15559933845166","5.97828670795472","0.418","0.039","0.048","1,2,4,6,7,67,84,85,86,87,88,89",0.0146633410987245,FALSE,1,0,2,1,12,1,11,0.0833333333333333,0.785714285714286
"EBIC",45,80,0.33,"FALSE","FALSE","FALSE","10.1807994678409","4.31614562885637","5.8646538389845","0.469","0.034","0.048","1,2,4,6,7,17,36,76,84,85,86,87,88,89",0.0241546710700798,FALSE,3,0,2,1,14,3,11,0.214285714285714,0.785714285714286
"EBIC",46,80,0.33,"FALSE","FALSE","FALSE","10.5661888736668","6.73729455499539","3.82889431867146","0.544","0.039","0.04","1,2,3,4,5,6,27,29,51,84,85,86,87,88,89",0.0203913440084927,FALSE,3,0,1,1,15,3,12,0.2,0.857142857142857
"EBIC",47,80,0.33,"FALSE","FALSE","FALSE","10.528163017372","4.61232234778606","5.91584066958592","0.536","0.039","0.052","1,2,4,6,7,65,84,85,86,87,88,89",0.0172526275596518,FALSE,1,0,2,1,12,1,11,0.0833333333333333,0.785714285714286
