"method","sim","n","betamin","is.true.model.intop.kappa.o","is.true.model.intop.kappa.oplusLASSO","is.s.hat.nan","s.hat","s0.hat","s1.hat","time.l0","time.lasso.cv","time.scad.cv","sel.model","est.mse","recovery","nb.tI.b0","nb.tI.b1","nb.tII.b0","nb.tII.b1","est.size","FP","TP","FDR","power"
"EBIC",1,700,0.33,"TRUE","TRUE","FALSE","20.1039164419533","10.1016760281853","10.002240413768","13.416","0.529","1.158","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",8.87134962341903e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",10,700,0.33,"TRUE","TRUE","FALSE","20.1193772659166","10.1166429499873","10.0027343159293","13.02","0.51","1.134","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",6.97802513226276e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",100,700,0.33,"TRUE","TRUE","FALSE","20.1060923199977","10.1042984928168","10.0017938271809","12.168","0.507","1.109","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",3.18159641762401e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",11,700,0.33,"TRUE","TRUE","FALSE","20.2890148182238","10.2862655921711","10.0027492260527","15.44","0.492","1.036","1,2,3,4,5,6,7,8,9,10,462,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",9.90025473250759e-05,FALSE,1,0,0,0,21,1,20,0.0476190476190476,1
"EBIC",12,700,0.33,"TRUE","TRUE","FALSE","20.1029868349918","10.1012542053344","10.0017326296574","12.633","0.517","1.172","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",4.55531138801275e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",13,700,0.33,"TRUE","TRUE","FALSE","20.1209367309223","10.1197001151976","10.0012366157248","13.749","0.528","1.199","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",2.25612260775628e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",14,700,0.33,"TRUE","TRUE","FALSE","20.115992397592","10.1150782547298","10.0009141428623","12.854","0.526","1.144","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",2.7785275638471e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",15,700,0.33,"TRUE","TRUE","FALSE","20.300917603013","10.1037553349779","10.1971622680351","14.649","0.499","1.158","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043,1060",0.000135462183601121,FALSE,0,1,0,0,21,1,20,0.0476190476190476,1
"EBIC",16,700,0.33,"TRUE","TRUE","FALSE","20.1565804707447","10.1545976075623","10.0019828631824","12.554","0.491","1.072","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",6.79044993119489e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",17,700,0.33,"TRUE","TRUE","FALSE","20.1197958105505","10.1147177025897","10.0050781079608","13.609","0.516","1.216","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",7.85179848919897e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",18,700,0.33,"TRUE","TRUE","FALSE","20.128965799944","10.1272110814121","10.0017547185319","13.351","0.552","1.162","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",3.57249470855944e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",19,700,0.33,"TRUE","TRUE","FALSE","20.1055203567125","10.1029050817326","10.0026152749799","15.026","0.522","1.174","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",3.5573857591919e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",2,700,0.33,"TRUE","TRUE","FALSE","20.1127037585624","10.1106981785355","10.0020055800269","13.064","0.502","1.122","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",6.05142091490577e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",20,700,0.33,"TRUE","TRUE","FALSE","20.110486271734","10.1081083711459","10.0023779005881","12.75","0.505","1.108","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",6.65446584187033e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",21,700,0.33,"TRUE","TRUE","FALSE","20.124508245437","10.1245143014845","9.99999394395252","12.267","0.496","1.114","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",3.0796041780278e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",22,700,0.33,"TRUE","TRUE","FALSE","19.9009589171608","10.1559324384332","9.74502647872762","14.346","0.474","1.049","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",3.31914406691227e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",23,700,0.33,"TRUE","TRUE","FALSE","20.2262115804952","10.2245915398568","10.0016200406384","13.536","0.611","1.02","1,2,3,4,5,6,7,8,9,10,699,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",9.50404241161536e-05,FALSE,1,0,0,0,21,1,20,0.0476190476190476,1
"EBIC",24,700,0.33,"TRUE","TRUE","FALSE","20.123213929697","10.1213905168139","10.001823412883","12.456","0.503","1.17","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",4.37918658535857e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",25,700,0.33,"TRUE","TRUE","FALSE","20.1034908259216","10.1012647472842","10.0022260786374","12.627","0.502","1.105","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",3.68868012515633e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",26,700,0.33,"TRUE","TRUE","FALSE","20.093971021291","10.0911485314626","10.0028224898284","13.201","0.503","1.157","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",5.54692383983145e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",27,700,0.33,"TRUE","TRUE","FALSE","20.6316410569179","10.6269623498507","10.0046787070672","17.279","0.51","1.144","1,2,3,4,5,6,7,8,9,10,909,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",0.000115403175872183,FALSE,1,0,0,0,21,1,20,0.0476190476190476,1
"EBIC",28,700,0.33,"TRUE","TRUE","FALSE","20.0916774567386","10.0900717719408","10.0016056847978","11.93","0.495","1.127","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",3.92829905059431e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",29,700,0.33,"TRUE","TRUE","FALSE","20.1772270119079","10.1743876943877","10.0028393175202","14.734","0.482","1.016","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",3.80103411826788e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",3,700,0.33,"TRUE","TRUE","FALSE","20.1114708458092","10.1074689335448","10.0040019122644","13.672","0.546","1.251","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",3.99190264701305e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",30,700,0.33,"TRUE","TRUE","FALSE","20.1562983850404","10.1546276913497","10.0016706936907","13.304","0.512","1.125","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",8.59051422580859e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",31,700,0.33,"TRUE","TRUE","FALSE","20.1242615130359","10.1216510558259","10.0026104572099","12.387","0.487","1.053","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",3.0299994469817e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",32,700,0.33,"TRUE","TRUE","FALSE","20.0920886627788","10.0906189940449","10.0014696687339","12.69","0.478","1.068","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",5.70773417850953e-05,TRUE,0,0,0,0,20,0,20,0,1
