"method","sim","n","betamin","is.true.model.intop.kappa.o","is.true.model.intop.kappa.oplusLASSO","is.s.hat.nan","s.hat","s0.hat","s1.hat","time.l0","time.lasso.cv","time.scad.cv","sel.model","est.mse","recovery","nb.tI.b0","nb.tI.b1","nb.tII.b0","nb.tII.b1","est.size","FP","TP","FDR","power"
"EBIC",27,700,0.33,"TRUE","TRUE","FALSE","20.0390187519934","10.0319905967958","10.0070281551976","16.463","0.527","1.13","1,2,3,4,5,6,7,8,9,10,909,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",0.000115403175872183,FALSE,1,0,0,0,21,1,20,0.0476190476190476,1
"EBIC",28,700,0.33,"TRUE","TRUE","FALSE","20.0913180358738","10.0896837648273","10.0016342710465","12.989","0.523","1.136","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",3.92829905059448e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",29,700,0.33,"TRUE","TRUE","FALSE","20.1733653932216","10.1702600474285","10.0031053457931","13.941","0.494","1.048","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",3.80103411826777e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",3,700,0.33,"TRUE","TRUE","FALSE","20.111441493772","10.1074375270688","10.0040039667032","12.755","0.513","1.253","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",3.99190264701306e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",30,700,0.33,"TRUE","TRUE","FALSE","20.1561853314511","10.1543712836373","10.0018140478139","14.12","0.514","1.142","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",8.59051422580864e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",31,700,0.33,"TRUE","TRUE","FALSE","20.1242264784804","10.1216173898689","10.0026090886115","12.736","0.492","1.043","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",3.02999944698171e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",32,700,0.33,"TRUE","TRUE","FALSE","20.090988781786","10.0895190694255","10.0014697123605","12.636","0.5","1.066","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",5.70773417850967e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",33,700,0.33,"TRUE","TRUE","FALSE","19.8906494738504","9.88751965468301","10.0031298191674","14.348","0.509","1.108","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",5.43711659523834e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",34,700,0.33,"TRUE","TRUE","FALSE","20.0863467168073","10.0846700419779","10.0016766748294","12.301","0.518","1.165","1,2,3,4,5,6,7,8,9,10,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",5.31068577153651e-05,TRUE,0,0,0,0,20,0,20,0,1
"EBIC",35,700,0.33,"TRUE","TRUE","FALSE","20.1515803870723","10.1496648031574","10.0019155839149","13.176","0.515","1.153","1,2,3,4,5,6,7,8,9,10,911,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043",7.69597323096815e-05,FALSE,1,0,0,0,21,1,20,0.0476190476190476,1
