"method","sim","n","betamin","is.true.model.intop.kappa.o","is.true.model.intop.kappa.oplusLASSO","is.s.hat.nan","s.hat","s0.hat","s1.hat","time.l0","time.lasso.cv","time.scad.cv","sel.model","est.mse","recovery","nb.tI","nb.tII","est.size","FP","TP","FDR","power"
"EBIC",1,600,0.33,"TRUE","TRUE","FALSE","19.1332863815336","0.00181713106544342","19.1314692504682","13.435","0.463","1.257","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",7.45012665415024e-05,TRUE,0,0,19,0,19,0,1
"EBIC",10,600,0.33,"TRUE","TRUE","FALSE","19.1559738271324","0.00123611807452741","19.1547377090579","14.082","0.4","1.237","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",6.84894278892297e-05,TRUE,0,0,19,0,19,0,1
"EBIC",100,600,0.33,"TRUE","TRUE","FALSE","19.3143652033489","0.0034219210140287","19.3109432823349","15.251","0.394","1.06","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,266,288",0.000189329847913644,FALSE,2,0,21,2,19,0.0952380952380952,1
"EBIC",11,600,0.33,"TRUE","TRUE","FALSE","19.2708011985416","0.00233897608868319","19.2684622224529","14.868","0.439","1.143","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,236",0.000216267956841103,FALSE,1,0,20,1,19,0.05,1
"EBIC",12,600,0.33,"TRUE","TRUE","FALSE","19.284321204301","0.00350267291530167","19.2808185313857","14.67","0.477","1.253","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,840",9.79293084881813e-05,FALSE,1,0,20,1,19,0.05,1
"EBIC",13,600,0.33,"TRUE","TRUE","FALSE","19.1262097213964","0.00296375744432045","19.123245963952","14.05","0.449","1.152","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",8.64027084313804e-05,TRUE,0,0,19,0,19,0,1
"EBIC",14,600,0.33,"TRUE","TRUE","FALSE","19.1172765631978","0.00138890975442458","19.1158876534434","13.095","0.432","1.11","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",5.3230165993928e-05,TRUE,0,0,19,0,19,0,1
"EBIC",15,600,0.33,"TRUE","TRUE","FALSE","19.1388601404079","0.00116503406385","19.137695106344","13.113","0.46","1.14","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",5.35454782092508e-05,TRUE,0,0,19,0,19,0,1
"EBIC",16,600,0.33,"TRUE","TRUE","FALSE","19.1555370221236","0.00406895109018136","19.1514680710334","14.221","0.411","1.112","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",6.67455641672134e-05,TRUE,0,0,19,0,19,0,1
"EBIC",17,600,0.33,"TRUE","TRUE","FALSE","19.1208447271212","0.0013544900217282","19.1194902370994","13.9","0.322","0.974","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",0.00010779534666672,TRUE,0,0,19,0,19,0,1
"EBIC",18,600,0.33,"TRUE","TRUE","FALSE","19.2776013760942","0.00320939380793504","19.2743919822863","14.371","0.403","1.125","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,508",0.000149843106617964,FALSE,1,0,20,1,19,0.05,1
"EBIC",19,600,0.33,"TRUE","TRUE","FALSE","19.1128173384797","0.00160058803286903","19.1112167504469","14.147","0.434","1.054","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",7.33751299385476e-05,TRUE,0,0,19,0,19,0,1
"EBIC",2,600,0.33,"TRUE","TRUE","FALSE","19.0833064716938","0.00132620569085819","19.081980266003","13.482","0.479","1.05","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",7.13038653378647e-05,TRUE,0,0,19,0,19,0,1
"EBIC",20,600,0.33,"TRUE","TRUE","FALSE","19.1689400143537","0.00139079557163857","19.1675492187821","13.596","0.452","1.035","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,358",0.000134632565726896,FALSE,1,0,20,1,19,0.05,1
"EBIC",21,600,0.33,"TRUE","TRUE","FALSE","19.1698751424248","0.00267911429888738","19.167196028126","14.917","0.39","1.06","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",6.92203666045756e-05,TRUE,0,0,19,0,19,0,1
"EBIC",22,600,0.33,"TRUE","TRUE","FALSE","19.1056457018439","0.00206807150128636","19.1035776303426","12.804","0.426","1.142","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",6.45787295728112e-05,TRUE,0,0,19,0,19,0,1
"EBIC",23,600,0.33,"TRUE","TRUE","FALSE","19.1293050363502","0.00170702953887716","19.1275980068114","14.497","0.385","1.167","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",7.08329007790031e-05,TRUE,0,0,19,0,19,0,1
"EBIC",24,600,0.33,"TRUE","TRUE","FALSE","19.0968802084882","0.00122915346289033","19.0956510550253","13.734","0.452","1.183","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",4.51023135624399e-05,TRUE,0,0,19,0,19,0,1
"EBIC",25,600,0.33,"TRUE","TRUE","FALSE","19.1003592615419","0.00266579827861179","19.0976934632633","13.124","0.415","1.123","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",7.91929332724107e-05,TRUE,0,0,19,0,19,0,1
"EBIC",26,600,0.33,"TRUE","TRUE","FALSE","19.1405503305081","0.0024235486946153","19.1381267818135","14.563","0.547","1.202","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",5.71657531468715e-05,TRUE,0,0,19,0,19,0,1
"EBIC",27,600,0.33,"TRUE","TRUE","FALSE","19.1409840798625","0.0021954015722868","19.1387886782902","13.323","0.477","1.041","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",8.46446507403161e-05,TRUE,0,0,19,0,19,0,1
"EBIC",28,600,0.33,"TRUE","TRUE","FALSE","19.1111733867271","0.00167046583255736","19.1095029208945","12.393","0.446","1.001","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",8.38376089872375e-05,TRUE,0,0,19,0,19,0,1
"EBIC",29,600,0.33,"TRUE","TRUE","FALSE","19.1103471899359","0.00244309245672436","19.1079040974792","13.746","0.417","1.003","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",4.06247789278861e-05,TRUE,0,0,19,0,19,0,1
"EBIC",3,600,0.33,"TRUE","TRUE","FALSE","19.1154609201363","0.00186496588397898","19.1135959542523","12.066","0.418","1.034","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",5.523300536007e-05,TRUE,0,0,19,0,19,0,1
"EBIC",30,600,0.33,"TRUE","TRUE","FALSE","19.0860563342833","0.00186594579906732","19.0841903884843","13.473","0.345","1.239","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",9.57700131804641e-05,TRUE,0,0,19,0,19,0,1
"EBIC",31,600,0.33,"TRUE","TRUE","FALSE","19.1466738563715","0.00298839286036378","19.1436854635111","12.953","0.404","1.091","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,802",0.000123082142390729,FALSE,1,0,20,1,19,0.05,1
"EBIC",32,600,0.33,"TRUE","TRUE","FALSE","19.2953395726308","0.00219833323910735","19.2931412393917","15.142","0.504","1.025","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,674",0.000130200811694537,FALSE,1,0,20,1,19,0.05,1
"EBIC",33,600,0.33,"TRUE","TRUE","FALSE","19.1138224200632","0.00169631665021361","19.112126103413","14.896","0.397","1.108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",5.61684045203933e-05,TRUE,0,0,19,0,19,0,1
"EBIC",34,600,0.33,"TRUE","TRUE","FALSE","19.0945276422157","0.00173648691823995","19.0927911552974","13.829","0.467","1.074","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",9.23875833355548e-05,TRUE,0,0,19,0,19,0,1
"EBIC",35,600,0.33,"TRUE","TRUE","FALSE","19.1042097355797","0.00291081898920266","19.1012989165905","14.47","0.46","1.062","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",5.48067418390439e-05,TRUE,0,0,19,0,19,0,1
"EBIC",36,600,0.33,"TRUE","TRUE","FALSE","19.1310997806864","0.00466468147144066","19.126435099215","12.645","0.458","1.133","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",9.29925215213123e-05,TRUE,0,0,19,0,19,0,1
"EBIC",37,600,0.33,"TRUE","TRUE","FALSE","19.1135866495596","0.00123944254457992","19.112347207015","12.951","0.442","1.402","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",5.72892135881631e-05,TRUE,0,0,19,0,19,0,1
"EBIC",38,600,0.33,"TRUE","TRUE","FALSE","19.0949420826774","0.00175606696987285","19.0931860157075","14.121","0.471","1.064","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",6.14016841282507e-05,TRUE,0,0,19,0,19,0,1
"EBIC",39,600,0.33,"TRUE","TRUE","FALSE","19.1863919937319","0.00449052597957881","19.1819014677524","15.018","0.397","1.22","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",3.8885713254188e-05,TRUE,0,0,19,0,19,0,1
"EBIC",4,600,0.33,"TRUE","TRUE","FALSE","19.1836506136119","0.00321020479231911","19.1804404088196","13.07","0.417","1.153","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,221",9.99282757161307e-05,FALSE,1,0,20,1,19,0.05,1
"EBIC",40,600,0.33,"TRUE","TRUE","FALSE","18.5638220501647","0.00286884004221533","18.5609532101225","15.297","0.377","1.1","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",0.000103191607285036,TRUE,0,0,19,0,19,0,1
"EBIC",41,600,0.33,"TRUE","TRUE","FALSE","19.1642404992388","0.00137735123400257","19.1628631480048","14.48","0.414","1.079","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,254",0.000167441372343049,FALSE,1,0,20,1,19,0.05,1
"EBIC",42,600,0.33,"TRUE","TRUE","FALSE","19.1044149408675","0.00220847240902248","19.1022064684585","14.392","0.448","1.107","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",0.000120687144394832,TRUE,0,0,19,0,19,0,1
"EBIC",43,600,0.33,"TRUE","TRUE","FALSE","19.1143264120343","0.00148650588369898","19.1128399061506","12.989","0.486","1.071","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",6.57696976977987e-05,TRUE,0,0,19,0,19,0,1
"EBIC",44,600,0.33,"TRUE","TRUE","FALSE","19.0987117987216","0.00113758244145724","19.0975742162801","13.498","0.433","1.141","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",4.45172353954294e-05,TRUE,0,0,19,0,19,0,1
"EBIC",45,600,0.33,"TRUE","TRUE","FALSE","19.1463935277715","0.00131593336905408","19.1450775944024","14.012","0.42","1.161","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",5.75083295689967e-05,TRUE,0,0,19,0,19,0,1
"EBIC",46,600,0.33,"TRUE","TRUE","FALSE","19.1843414927644","0.001666227512698","19.1826752652517","13.349","0.327","0.948","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,381",0.000108404561245247,FALSE,1,0,20,1,19,0.05,1
"EBIC",47,600,0.33,"TRUE","TRUE","FALSE","19.1174050785552","0.00115666261574395","19.1162484159394","12.85","0.429","1.099","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",7.77006463545674e-05,TRUE,0,0,19,0,19,0,1
"EBIC",48,600,0.33,"TRUE","TRUE","FALSE","19.1296377642383","0.00118654390628321","19.128451220332","13.405","0.451","1.041","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",7.66476713855738e-05,TRUE,0,0,19,0,19,0,1
"EBIC",49,600,0.33,"TRUE","TRUE","FALSE","19.1979167119552","0.00304371182788987","19.1948730001273","14.538","0.456","1.187","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,651",0.000127053896079992,FALSE,1,0,20,1,19,0.05,1
"EBIC",5,600,0.33,"TRUE","TRUE","FALSE","19.5753718640088","0.00251883088237433","19.5728530331264","17.145","0.523","1.274","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,492",0.000104293304003469,FALSE,1,0,20,1,19,0.05,1
"EBIC",50,600,0.33,"TRUE","TRUE","FALSE","19.2380129973637","0.0234967290846871","19.214516268279","16.017","0.464","1.104","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,715",0.000106046638528915,FALSE,1,0,20,1,19,0.05,1
"EBIC",51,600,0.33,"TRUE","TRUE","FALSE","19.2176545174655","0.00166150548916293","19.2159930119763","14.362","0.521","1.228","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,539,667",0.000172846346217515,FALSE,2,0,21,2,19,0.0952380952380952,1
"EBIC",52,600,0.33,"TRUE","TRUE","FALSE","19.2385672676051","0.00396798769319076","19.2345992799119","13.759","0.419","1.167","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,381",0.000107695798618905,FALSE,1,0,20,1,19,0.05,1
"EBIC",53,600,0.33,"TRUE","TRUE","FALSE","19.1296375107717","0.00224083116533103","19.1273966796064","13.285","0.418","1.103","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",9.15867687060692e-05,TRUE,0,0,19,0,19,0,1
"EBIC",54,600,0.33,"TRUE","TRUE","FALSE","19.1026426997014","0.00227502098163102","19.1003676787198","12.57","0.446","1.139","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",5.10950856661005e-05,TRUE,0,0,19,0,19,0,1
"EBIC",55,600,0.33,"TRUE","TRUE","FALSE","19.1291954851884","0.00157863889697549","19.1276168462914","13.551","0.482","0.9","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",5.17339169868662e-05,TRUE,0,0,19,0,19,0,1
"EBIC",56,600,0.33,"TRUE","TRUE","FALSE","19.0979818397138","0.0012339149253038","19.0967479247885","13.376","0.4","1.115","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",5.30277293891825e-05,TRUE,0,0,19,0,19,0,1
