"method","sim","n","betamin","is.true.model.intop.kappa.o","is.true.model.intop.kappa.oplusLASSO","is.s.hat.nan","s.hat","s0.hat","s1.hat","time.l0","time.lasso.cv","time.scad.cv","sel.model","est.mse","recovery","nb.tI","nb.tII","est.size","FP","TP","FDR","power"
"EBIC",1,400,0.33,"TRUE","TRUE","FALSE","18.1754277352861","0.00380150564783822","18.1716262296383","5.013","0.191","0.536","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",0.000188767405374776,TRUE,0,0,18,0,18,0,1
"EBIC",10,400,0.33,"TRUE","TRUE","FALSE","17.5958819633459","0.00264762012378614","17.5932343432221","5.598","0.175","0.462","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",0.000148442800285807,TRUE,0,0,18,0,18,0,1
"EBIC",100,400,0.33,"TRUE","TRUE","FALSE","18.1028826355177","0.00390691729687082","18.0989757182209","4.827","0.171","0.463","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",7.99532558785139e-05,TRUE,0,0,18,0,18,0,1
"EBIC",11,400,0.33,"TRUE","TRUE","FALSE","18.1140308956592","0.00497473688255997","18.1090561587766","4.81","0.183","0.525","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",5.21338741012627e-05,TRUE,0,0,18,0,18,0,1
"EBIC",12,400,0.33,"TRUE","TRUE","FALSE","18.2022256842775","0.00391110182705517","18.1983145824504","5.611","0.166","0.418","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",0.000182581558385998,TRUE,0,0,18,0,18,0,1
"EBIC",13,400,0.33,"TRUE","TRUE","FALSE","17.4868991988697","0.00231277889183047","17.4845864199778","5.24","0.186","0.452","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",0.000148179001284379,TRUE,0,0,18,0,18,0,1
"EBIC",14,400,0.33,"TRUE","TRUE","FALSE","17.1645780368568","0.0026321681848435","17.161945868672","5","0.186","0.49","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",0.000160588631677134,TRUE,0,0,18,0,18,0,1
"EBIC",15,400,0.33,"TRUE","TRUE","FALSE","18.0131307151335","0.00261097149324419","18.0105197436403","5.056","0.185","0.511","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",0.00017765576870463,TRUE,0,0,18,0,18,0,1
"EBIC",16,400,0.33,"TRUE","TRUE","FALSE","18.2599759544611","0.00632947100362505","18.2536464834575","5.378","0.174","0.476","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,236",0.000346707643238429,FALSE,1,0,19,1,18,0.0526315789473684,1
"EBIC",17,400,0.33,"TRUE","TRUE","FALSE","18.0339284369543","0.0028045138904804","18.0311239230639","5.053","0.175","0.496","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",0.000123540889221403,TRUE,0,0,18,0,18,0,1
"EBIC",18,400,0.33,"TRUE","TRUE","FALSE","18.1241341530364","0.00277090673445108","18.121363246302","4.793","0.183","0.473","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",0.0002761214348717,TRUE,0,0,18,0,18,0,1
"EBIC",19,400,0.33,"TRUE","TRUE","FALSE","18.1092333058725","0.0052707774028754","18.1039625284696","4.555","0.18","0.492","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",0.000101253572817715,TRUE,0,0,18,0,18,0,1
"EBIC",2,400,0.33,"TRUE","TRUE","FALSE","17.1923121373009","0.00478367925472901","17.1875284580462","4.94","0.162","0.415","1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18",0.000356763993018412,FALSE,0,1,17,0,17,0,0.944444444444444
"EBIC",20,400,0.33,"TRUE","TRUE","FALSE","17.9765148211788","0.0023665315425905","17.9741482896363","5.024","0.165","0.458","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",0.000180768732399399,TRUE,0,0,18,0,18,0,1
"EBIC",21,400,0.33,"TRUE","TRUE","FALSE","18.1846405082208","0.00442520492068709","18.1802153033002","5.765","0.224","0.558","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,254",0.000334964729328115,FALSE,1,0,19,1,18,0.0526315789473684,1
"EBIC",22,400,0.33,"TRUE","TRUE","FALSE","18.0522330360939","0.00343459539603653","18.0487984406979","5.446","0.183","0.524","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",7.39406924633497e-05,TRUE,0,0,18,0,18,0,1
"EBIC",23,400,0.33,"TRUE","TRUE","FALSE","18.1632413678705","0.00205149241073159","18.1611898754598","5.113","0.183","0.529","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",7.32591415126657e-05,TRUE,0,0,18,0,18,0,1
"EBIC",24,400,0.33,"TRUE","TRUE","FALSE","18.1259106769151","0.00666103906962772","18.1192496378454","4.811","0.182","0.509","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",0.000162591471773386,TRUE,0,0,18,0,18,0,1
"EBIC",25,400,0.33,"TRUE","TRUE","FALSE","17.2965194856757","0.00300320834206448","17.2935162773336","5.713","0.174","0.582","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",0.000166383704268367,TRUE,0,0,18,0,18,0,1
"EBIC",26,400,0.33,"TRUE","TRUE","FALSE","17.3793420265405","0.0037755271942666","17.3755664993462","5.595","0.188","0.497","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",0.000189224389172627,TRUE,0,0,18,0,18,0,1
"EBIC",27,400,0.33,"TRUE","TRUE","FALSE","18.0821338481135","0.00288035470391276","18.0792534934096","5.006","0.181","0.5","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",0.000222842429258156,TRUE,0,0,18,0,18,0,1
"EBIC",28,400,0.33,"TRUE","TRUE","FALSE","18.1328088546457","0.00210786807835004","18.1307009865674","4.93","0.18","0.481","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",0.000209097158730661,TRUE,0,0,18,0,18,0,1
"EBIC",29,400,0.33,"TRUE","TRUE","FALSE","17.5067983556742","0.0024113781377022","17.5043869775365","5.854","0.18","0.46","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",0.000207575737297243,TRUE,0,0,18,0,18,0,1
